Time(ms),AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ,Fall
1751,31.58,5,31.18,9,31.63,-3,40.0,32,3993.29,-1,3982.99,-2,True
1856,31.62,-10,31.09,-5,31.62,-23,42.93,-48,1.1,8,2.68,10,True
1961,31.64,-16,31.11,-11,31.53,2,40.98,0,11.83,2,19.51,10,True
2066,31.57,5,31.09,-9,31.62,5,41.95,-32,20.3,3,19.88,0,True
2172,31.58,-5,31.16,-12,31.66,-9,40.98,-32,19.33,-5,11.59,3,True
2276,31.63,-15,31.1,-10,31.68,7,40.98,0,11.71,5,1.28,1,True
2381,31.68,12,31.12,37,31.7,43,40.0,0,11.04,2,1.4,-13,True
2486,31.71,4,31.09,3,31.68,11,40.0,32,11.65,-1,9.39,2,True
2591,31.76,10,31.07,-6,31.65,0,42.93,-32,19.88,0,39.33,9,True
2695,31.76,3,31.02,3,31.76,3,41.95,-32,29.09,1,22.74,-22,True
2799,31.84,10,31.06,0,31.79,10,40.98,16,21.28,-7,3992.8,1,True
2903,31.9,1,31.01,6,31.75,-11,42.93,-16,3.66,1,3987.56,6,True
3009,31.85,-7,31.02,8,31.83,-24,41.95,-32,2.5,-4,11.16,2,True
3113,31.83,0,31.01,-12,31.79,-11,40.98,32,5.91,-1,17.8,-1,True
3217,31.86,-9,30.99,-12,31.85,15,41.95,-32,3994.57,-1,3987.01,-2,True
3323,31.96,22,31.06,4,31.82,11,42.93,-32,3.05,11,18.11,-8,True
3427,0.15,28,31.06,-27,31.73,-5,40.0,32,4.7,-5,89.94,-10,True
3531,31.85,13,31.05,-2,31.56,-11,39.02,32,3978.72,9,140.06,22,True
3635,31.55,10,31.21,-18,31.53,-42,40.0,32,31.04,-2,135.61,-22,True
3739,31.43,5,31.38,-13,31.56,-28,41.95,0,35.91,8,17.87,-1,True
3843,31.48,3,31.29,9,31.28,-15,40.98,0,48.11,1,3969.39,73,True
3947,31.34,-12,31.23,-8,31.57,-18,40.0,32,85.49,10,38.17,39,True
4053,31.0,-9,31.5,2,31.78,11,41.95,0,61.1,-21,30.79,-13,True
4157,31.09,-28,31.59,12,31.95,-24,41.95,-32,4.7,-17,3976.59,-32,True
4263,31.46,-5,31.69,6,0.08,-27,40.0,16,3905.55,-31,3922.87,-11,True
4367,31.6,2,31.64,-10,31.83,-14,39.02,16,3823.41,1,3915.98,31,True
4471,31.31,-58,31.97,53,31.17,17,40.0,16,3765.12,-30,210.91,-11,True
4577,31.39,-10,1.0,17,31.47,-6,42.93,-32,3734.27,41,3990.61,28,True
4681,31.63,-6,1.48,5,31.6,52,41.95,0,3835.0,16,124.33,86,True
4787,31.46,5,1.27,14,31.76,-23,40.98,0,3842.5,-18,221.22,-6,True
4891,31.59,-19,1.15,6,31.57,4,41.95,-64,3862.13,17,201.59,-11,True
4995,31.64,-3,0.89,-1,31.62,-3,40.98,0,3910.18,8,110.12,-25,True
5099,31.57,-8,0.71,-25,31.62,-19,41.95,0,3907.56,5,40.18,-5,True
5203,31.53,-27,0.75,12,31.26,-34,41.95,-32,3952.13,23,92.62,-24,True
5309,31.74,-2,0.54,5,30.92,-27,41.95,-32,55.98,32,3886.77,-74,True
5413,31.77,3,1.16,22,31.08,39,41.95,0,171.65,25,3782.07,-32,True
5517,31.82,-6,1.43,3,31.51,-3,40.0,32,219.39,7,3724.27,-3,True
5621,31.91,6,1.31,-14,31.55,-14,40.98,0,181.95,1,3705.06,18,True
5727,0.1,-18,1.16,-20,31.64,-1,39.02,16,172.01,-3,3842.26,37,True
5831,31.81,0,0.93,11,31.93,-2,40.98,-16,107.8,-16,3930.3,24,True
5935,31.61,-19,0.89,-1,0.28,25,40.0,0,25.67,-21,3995.12,-65502,True
6039,31.47,-22,0.91,8,0.17,-42,40.98,0,3949.88,-16,74.63,5,True
6145,31.5,25,1.14,-92,31.84,-34,40.98,16,3908.96,-3,120.3,22,True
6249,31.62,-16,1.05,-53,31.78,-4,40.98,0,3925.85,6,94.63,42,True
6353,31.61,1,0.97,4,31.74,12,39.02,16,3956.1,7,58.6,13,True
6457,31.53,13,1.17,23,31.74,-15,42.93,-32,2.8,-9,62.5,-41,True
6561,31.51,32,0.87,-12,31.5,-5,40.0,32,10.06,11,3966.89,-30,True
6667,31.36,-11,0.77,-14,31.47,11,40.98,0,43.66,11,3914.94,-10,True
