Time(ms),AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ,Fall
1795,31.69,-3,0.62,-14,0.6,-5,3879.02,32,3974.21,4,3990.67,-1,False
1901,31.69,0,0.59,1,0.61,13,3879.02,0,3984.15,0,3977.56,0,False
2006,31.72,-10,0.57,6,0.7,10,3879.02,0,3993.54,0,3948.78,6,False
2111,31.79,11,0.5,-7,0.7,-7,3880.0,16,3978.66,-4,3967.01,14,False
2216,31.77,-1,0.4,-9,0.7,-24,3880.0,-16,3969.94,4,3974.27,12,False
2321,31.76,5,0.38,2,0.72,-28,3881.95,-64,3983.96,5,3971.52,7,False
2426,31.77,1,0.35,0,0.74,-4,3879.02,16,3992.87,4,3990.06,6,False
2531,31.75,7,0.33,0,0.79,11,3880.98,0,2.2,6,3989.57,3,False
2636,31.76,0,0.33,5,0.76,9,3880.98,-32,9.09,4,3970.12,13,False
2741,31.74,15,0.34,6,0.73,-4,3880.98,-32,27.38,2,3978.41,-4,False
2845,31.78,2,0.43,-4,0.79,1,3880.0,-16,15.79,-5,3994.39,8,False
2949,31.78,16,0.46,1,0.76,11,3880.0,0,1.52,-1,10.37,-4,False
3053,31.84,-12,0.41,-6,0.69,-22,3880.98,-32,3980.0,3,38.17,11,False
3158,31.74,3,0.41,-21,0.68,7,3879.02,0,3983.78,8,43.6,-12,False
3262,31.61,-10,0.44,16,0.72,4,3880.0,16,6.16,-3,40.24,6,False
3366,31.66,-10,0.46,7,0.66,-9,3881.95,-32,3985.49,-2,76.16,32,False
3471,31.6,-10,0.52,-15,0.62,-4,3880.98,-32,3929.7,-17,136.59,39,False
3576,31.36,11,0.58,-8,0.32,-15,3880.0,-16,3866.65,-3,286.71,30,False
3681,30.87,5,0.29,8,31.72,-3,3881.95,-32,3908.35,27,286.1,-102,False
3786,30.93,-3,0.11,-10,31.68,-13,3882.93,-48,21.46,5,194.45,-37,False
3890,30.49,1,0.14,15,31.61,19,3880.98,0,3965.55,-30,3693.48,-187,False
3995,31.41,19,0.17,-22,0.25,11,3880.0,16,3965.3,38,3695.0,209,False
4100,31.33,35,0.19,-19,0.44,21,3881.95,-16,17.13,-2,3922.56,9,False
4205,31.36,-16,0.1,-37,0.58,-17,3881.95,-32,23.05,-25,3970.55,-80,False
4310,31.38,67,0.15,-89,0.72,13,3881.95,-16,15.18,-48,3956.89,-203,False
4415,31.4,-14,0.15,-100,0.66,-50,3880.0,32,26.34,-96,3992.13,-45,False
4519,31.35,-98,0.28,45,0.38,-38,3881.95,32,47.44,-85,293.54,-489,False
4624,31.1,-28,0.16,-17,0.07,-47,3880.98,16,1.83,3,240.49,-79,False
4729,30.67,77,0.37,-14,31.63,80,3880.98,0,3.41,-45,3962.07,-163,False
4834,31.15,-4,0.1,32,0.13,36,3882.93,0,3935.3,-39,3785.3,41,False
4939,31.01,-19,0.24,3,32.0,-65513,3880.98,32,3989.88,-1,42.26,-15,False
5044,31.11,2,0.21,-12,0.06,8,3880.0,16,3978.41,-10,3979.02,-13,False
5148,31.47,-7,0.27,1,0.22,33,3883.9,-32,3954.51,-12,17.62,186,False
5253,31.09,-2,0.32,30,31.97,30,3879.02,80,3936.77,-16,74.45,-31,False
5358,31.08,4,0.31,5,31.98,19,3880.98,32,3925.91,-3,3913.48,-45,False
5463,31.16,19,0.46,0,0.07,6,3882.93,-32,3973.11,24,3923.17,44,False
5568,31.14,37,0.57,-9,0.2,25,3881.95,-16,3981.16,-6,3977.68,37,False
5673,31.18,-1,0.59,-3,0.22,15,3881.95,0,3987.26,1,19.51,-4,False
5778,31.41,-7,0.59,-9,0.21,11,3881.95,16,3989.76,10,28.9,-20,False
5883,31.44,21,0.69,-3,0.26,-13,3881.95,32,3982.01,-5,46.83,28,False
5988,31.4,-21,0.58,-20,0.19,-12,3882.93,-16,3959.09,6,75.61,13,False
6092,31.26,-2,0.39,14,31.97,-4,3882.93,-32,24.39,21,151.77,14,False
6197,31.05,28,0.72,6,31.81,29,3882.93,-32,32.5,-19,3959.7,-88,False
6302,31.35,32,0.67,-7,31.95,15,3881.95,0,34.94,10,3972.56,31,False
6407,31.25,-1,0.59,21,31.96,-26,3881.95,32,35.12,7,3934.88,-4,False
6512,31.11,31,0.54,28,31.86,-16,3880.98,48,26.16,-15,3977.93,-49,False
6617,31.1,2,0.65,8,31.75,14,3880.98,32,3985.06,1,23.72,31,False
6722,30.92,18,0.37,-20,31.77,-10,3882.93,0,3992.93,-16,101.65,-58,False
6827,30.98,2,0.28,6,31.64,2,3881.95,16,3982.13,-4,11.34,-43,False
6932,31.18,-29,0.19,11,31.49,-15,3883.9,0,3986.28,-6,3979.39,-23,False
