Time(ms),Teste,AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ
28072,1,0.09,-20,31.46, 2,0.64, 9,3907.32, 0,34.39,-9,14.94, 1
28377,1,0.00,65511,31.50,-8,0.67,17,3909.27,-32,3975.79, 4,24.15, 2
28482,1,31.87,18,31.52,22,0.84,-17,3908.29, 0,16.46,-12,3995.73,-17
28587,1,31.98,-11,31.51,-73,0.70,15,3908.29,-32,3912.56,-30,3980.12, 6
28692,1,31.97,-4,31.31,30,0.70,-10,3907.32, 0,51.16,-16,3987.93, 4
28797,1,0.01, 8,31.20,-6,0.63,-23,3907.32,-16,11.71,27,3980.24,-1
28902,1,31.91,-4,31.29,-19,0.69, 9,3908.29, 0,21.83,-13,3969.15,-3
29007,1,31.86, 8,31.48, 7,0.63,11,3908.29,-16,3960.55,-23,3966.22, 9
29112,1,31.84,-3,31.48,-7,0.69, 4,3906.34,48,3973.84,17,3989.76, 7
29217,1,31.87,-15,31.53, 3,0.75,-12,3909.27,-32,3985.79, 9,3.60, 3
29322,1,31.88,16,31.45, 7,0.77,-6,3907.32, 0,3995.73,-65522,3990.00,-5
29426,1,31.89,13,31.46,-10,0.72,-1,3906.34, 0,3988.41, 3,3978.90,-2
29531,1,31.95,10,31.45, 1,0.66,17,3908.29, 0,3984.51, 3,3985.61, 3
29636,1,31.98, 6,31.41,15,0.68,-1,3908.29,16,3989.88,10,22.56,11
29741,1,31.94,-7,31.27, 0,0.76,-12,3907.32,48,34.15,20,64.70, 1
29845,1,31.83, 6,31.37,25,0.70,-8,3909.27,-48,52.80,-23,25.12,-16
29950,1,31.98, 6,31.35,-4,0.53, 0,3908.29,-32,3982.56,15,3995.30,-1
30055,1,31.85,-1,31.35,21,0.65,19,3908.29,32,30.06,-24,3984.27,-5
30160,1,31.91, 6,31.46,-6,0.60, 1,3909.27,-32,3949.63,-11,3979.76, 2
30264,1,32.00,-36,31.19,-35,0.85,48,3907.32, 0,4.33,36,13.35,13
30369,1,0.08,-16,31.67,-68,0.58,33,3906.34, 0,3875.67,-19,15.67,12
30474,1,31.91,-6,31.60,17,0.71, 9,3908.29, 0,67.99,-41,21.71,-10
30579,1,31.91,11,31.47,-8,0.69,-12,3906.34,64,3958.90, 1,3985.55, 1
30684,1,31.89,-12,31.50,-16,0.66,-9,3908.29,16,3984.33, 3,3982.93,-2
30789,1,31.80,-15,31.49, 1,0.76,-9,3907.32, 0,3979.02, 4,3974.02,-4
30893,1,31.75,-2,31.39, 7,0.85,29,3907.32,16,3978.11, 4,3964.02, 1
30998,1,31.79, 0,31.44,-4,0.73, 4,3906.34, 0,3978.54,-9,3954.70,-9
31103,1,31.78,-1,31.22,-5,0.64,-5,3908.29,-32,17.56,38,3952.44, 1
31208,1,31.65,11,31.49, 2,0.53,-21,3908.29,-48,3978.48,-45,3923.78, 0
31313,1,31.75,-19,31.35,-18,0.40,-8,3907.32, 0,3946.59,20,3936.16, 7
31418,1,31.67,22,31.31,-1,0.49,-7,3907.32, 0,3980.24, 3,3959.88, 2
31523,1,31.63, 8,31.33,12,0.55,-20,3906.34,32,3991.83,-26,3975.79, 3
31628,1,31.44,-22,31.17,26,0.69,11,3908.29, 0,28.35,-1,3988.11, 4
31733,1,31.58,25,31.60,10,0.57,-16,3908.29,-16,3937.38, 0,30.06,14
31838,1,31.50,-21,31.79,-8,0.72,-25,3909.27, 0,9.70,11,52.80,-8
31942,1,31.38,-10,31.92,-19,0.65,20,3909.27,-32,11.59,-6,19.09,-6
32047,1,31.29,-21,31.99,14,0.54,-24,3907.32,16,3996.04,-9,3.96,-7
32152,1,31.25, 1,31.93, 7,0.50,36,3908.29, 0,3.84,13,3992.44,-2
32257,1,31.27, 1,31.91,15,0.54, 1,3907.32,16,3995.37, 4,5.30, 1
32363,1,31.28,14,31.92, 2,0.58,12,3907.32,32,3993.35, 3,3993.11,-7
32468,1,31.26, 3,31.92,-3,0.52,16,3906.34,32,3989.70, 2,3986.34, 4
32573,1,31.29,-6,31.87,-9,0.52,-7,3908.29, 0,3995.00,13,2.62, 2
32678,1,31.27, 0,31.91,15,0.55,14,3906.34,48,3988.11, 3,3995.61,-8
32783,1,31.27,-1,31.93,-7,0.54,-18,3906.34,48,2.56, 6,3994.94,-3
32887,1,31.27,-5,31.91, 4,0.53,-3,3907.32, 0,3995.49, 3,3994.51, 2
32992,1,31.27,13,31.91,-13,0.52, 7,3909.27,-48,2.20,-2,0.98,-3
33097,1,31.25,-15,31.93,12,0.53,-10,3906.34, 0,3995.30,-4,3991.22,-1
33202,1,31.25,-10,31.93,-12,0.54,10,3908.29,-32,1.16, 0,3994.27, 4
33306,1,31.28,-4,31.89, 6,0.55,-3,3906.34,16,3995.30, 4,3993.41,-2
33411,1,31.29, 2,31.90, 3,0.52,10,3907.32, 0,3994.70, 1,3994.94,-3
33516,1,31.32, 1,31.91, 7,0.55,25,3907.32, 0,3992.44, 6,3.05, 2
33621,1,31.29,-2,31.94, 1,0.59, 1,3908.29,-32,4.70, 2,3.29, 2
33726,1,31.25, 8,31.97,-22,0.56,-29,3906.34,32,3.66, 0,3992.50,-2
33831,1,31.17, 3,31.92,-18,0.51, 4,3908.29,32,3992.68,-2,3981.65,-2
33936,1,31.34, 0,31.89,-11,0.52,-5,3908.29, 0,3986.22,-5,3989.76, 7
34041,1,31.37,-4,31.88,-8,0.55,-1,3908.29,-16,3985.73, 4,2.50,-1
34146,1,31.25, 0,31.87, 3,0.59,-7,3909.27, 0,3993.23, 5,5.91, 3
34251,1,31.28, 1,31.91,-18,0.53,23,3907.32,32,3991.52,-7,0.55,-3
34356,1,31.38,-2,31.90, 8,0.55,13,3909.27,-16,2.99,-5,9.15, 4
34461,1,31.34, 0,31.90, 4,0.59,-4,3910.24, 0,13.17, 2,9.70,-4
34566,1,31.29,13,31.92,-4,0.56, 7,3908.29, 0,4.70,-1,3990.43,-4
34671,1,31.39, 3,31.87,20,0.51,-6,3910.24,-48,26.89,-1,5.91,-1
34776,1,31.44,-11,31.56,-22,0.58, 1,3907.32, 0,53.41,27,9.63,-1
34881,1,31.57,15,31.44,-21,0.55, 0,3907.32,16,56.71,10,25.24, 3
34986,1,31.27,-34,31.04,19,0.79,-8,3908.29, 0,148.72,-6,18.60,-17
35091,1,31.49,12,31.35,-13,0.59,-16,3908.29,-32,0.55,65502,3973.66, 0
35196,1,31.77,19,31.40,-9,0.44,-5,3906.34,16,3974.27, 9,4.57,19
35301,1,31.80,-5,31.32,-9,0.48,16,3908.29,16,34.76,13,62.13, 9
35406,1,31.73,11,31.40,21,0.53,-9,3907.32, 0,35.37,-13,81.65, 3
35511,1,31.69,-14,31.38, 4,0.57, 9,3909.27,-16,42.68, 5,71.59,-9
35616,1,31.51,16,31.40,-3,0.73,-16,3907.32,16,12.01,-10,27.93,-21
35721,1,31.65, 5,31.28,12,0.84,-16,3908.29,-32,3967.44,30,32.32,-1
35825,1,31.69,-1,31.43,-19,0.80,-16,3908.29,-16,3980.12,19,41.10,-2
35930,1,31.81, 3,31.49,-3,0.65,15,3908.29,-16,3995.12, 2,44.51, 0
36035,1,31.74,-5,31.39,-7,0.73,-6,3909.27, 0,39.02, 6,30.85,-10
36140,1,31.75, 6,31.38,-9,0.68,-8,3907.32, 0,1.16, 7,3991.34,-5
36245,1,31.76, 1,31.40, 5,0.61, 0,3907.32,-16,3.35, 5,3984.88,-4
36350,1,31.76, 0,31.45,-13,0.60,-5,3906.34,32,3989.33,-1,3987.20,-1
36454,1,31.79,10,31.45,-12,0.62,13,3906.34,16,3986.46,-3,3992.62, 5
36558,1,31.78, 3,31.42,-26,0.66, 6,3907.32, 0,3995.12,-6,8.60,10
36663,1,31.73,-14,31.35,-3,0.73, 6,3907.32,16,2.38,-7,22.01, 3
36769,1,31.59,-13,31.15,29,0.81,-22,3906.34,32,20.30,23,12.32,-8
36875,1,31.73,-18,31.47,-11,0.42,-4,3906.34,16,3928.48, 7,0.85, 7
36980,1,31.61, 8,31.52,19,0.46,-15,3907.32,-32,55.06,-27,9.88, 2
37085,1,31.64,14,31.49,12,0.65,-6,3908.29,-32,36.34, 1,1.28,-13
37190,1,31.61, 8,31.59, 2,0.74, 9,3908.29,-32,15.61,-1,3980.00,-6
