Time(ms),Teste,AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ
34075,1,0.94,-7,31.64,-11,0.02,-19,3922.93,-16,7.07,-33,3990.37,-26
34381,1,0.96,-19,31.61,10,31.96,-8,3921.95, 0,1.59,-3,3989.63, 6
34486,1,1.00,-41,31.63,21,31.95,-4,3920.98,-32,3992.44,-4,3992.20,-1
34591,1,0.98,-15,31.63, 4,31.95,11,3919.02, 0,3983.05,-5,3993.66, 3
34696,1,1.00,-13,31.62,-3,31.91,-3,3918.05,32,3990.91, 1,7.44, 0
34801,1,0.95,18,31.63,-12,31.91,-10,3920.00, 0,3984.76,-4,3.35,-3
34906,1,0.96,23,31.61, 3,31.91,-40,3918.05,32,12.32, 8,3991.40,12
35011,1,0.98,-9,31.64,-6,31.92,-3,3920.98,-32,3991.46,-10,3994.70, 0
35115,1,0.96, 7,31.62,-2,31.90, 2,3920.00,-16,3989.27, 5,10.49, 5
35220,1,0.97, 0,31.61,-2,31.92, 4,3920.00, 0,5.79, 4,9.15, 2
35324,1,0.95,-1,31.60, 9,31.95,-16,3920.00, 0,3.60,-2,15.30,-3
35429,1,0.95,-4,31.60,-3,31.97,-11,3920.98,-16,8.23, 7,18.72, 1
35534,1,0.94, 0,31.64, 1,0.02, 3,3920.98,16,11.04,-2,17.62, 3
35639,1,0.95,-7,31.62, 5,0.05,-7,3919.02, 0,9.15,-3,27.80, 6
35744,1,0.92, 0,31.63,-14,0.10,-9,3920.00,16,12.07, 1,41.22,-3
35849,1,0.91, 0,31.63,-9,0.13, 5,3918.05,32,23.23, 8,53.60, 9
35954,1,0.87,-7,31.65,-18,0.20,-13,3920.00, 0,31.40, 0,75.06, 8
36059,1,0.78,32,31.73,-12,0.28,-127,3921.95,-32,42.50,-21,121.71,26
36163,1,0.54,-58,31.78,52,0.37,79,3920.98, 0,87.80,39,143.05,-17
