Time(ms),Teste,AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ
35572,1,31.89,-11,31.20,-10,0.42, 2,3905.37,-16,3994.39, 5,3924.15,-10
35878,1,31.81,-6,31.35, 2,0.23,-14,3907.32,-32,3917.26,-9,3908.78,-2
35982,1,31.72,10,31.24,15,0.19, 2,3903.41,16,3963.72,-10,3925.12,15
36087,1,31.65,-14,31.14, 5,0.14,-15,3904.39, 0,3961.34,-27,3977.07,19
36192,1,31.44,-12,31.14,12,0.13,-16,3904.39, 0,22.74,-14,13.90, 8
36297,1,31.29,-14,31.39,-1,0.16,13,3904.39,-32,7.32,-11,26.34,-10
36402,1,31.23,-7,31.57,11,0.12,-2,3904.39,16,3960.91,-14,20.79, 5
36507,1,31.17, 6,31.52,-25,0.15,54,3904.39,48,1.16,-5,41.89,-7
36612,1,31.15,12,31.39,-5,0.11,20,3903.41,32,41.04, 3,35.24,-15
36717,1,31.18,19,31.26,-11,0.08, 4,3903.41,32,16.71,-16,3991.28,-11
36822,1,31.36, 5,31.20,-2,0.35,-12,3905.37, 0,77.56,-45,3894.88,-25
36927,1,31.63,29,31.47,34,0.08,-57,3905.37,16,54.82,-39,3832.07,-3
37032,1,29.95,-170,30.75,54,31.13,48,3904.39,32,3978.60,-93,65.18,152
37137,1,1.27,-168,30.16,-61,0.99,173,3906.34,-32,152.74,39,139.39,20
37242,1,0.23,-56,30.73,95,0.80,-35,3906.34,-64,56.52,-18,49.57,14
37347,1,0.28,-9,31.47,-83,0.31,-32,3906.34,-16,3981.28,-46,3993.90, 1
37451,1,0.47,19,31.75,-75,0.44,16,3903.41,32,20.55,-62,19.33,-9
37556,1,0.50, 8,31.72,-3,0.55, 1,3901.46,48,3982.13,-27,17.93,-9
37661,1,0.58,-32,31.61,-10,0.62,43,3905.37,-16,3902.93,-11,17.68,-5
37766,1,0.64,11,31.33,-20,0.72,-12,3904.39, 0,3903.78,13,3984.82, 6
37871,1,0.32,23,31.31,-22,0.48,38,3906.34, 0,3947.20,-30,12.87,-12
37976,1,0.28,-6,31.14,-5,0.47, 4,3904.39,32,14.57, 7,0.24,-1
38080,1,0.23, 5,31.21,10,0.36,17,3903.41,32,3989.57, 8,5.91, 2
38185,1,0.31,-17,31.16,-21,0.40,16,3905.37,32,3956.65, 9,3984.09,-4
38290,1,0.29,-1,31.13,-4,0.37,-46,3903.41,32,3985.98, 1,3985.18, 7
38396,1,0.27,-7,31.15,-17,0.21, 1,3907.32, 0,3911.16, 6,2.62,-6
38502,1,0.32,-15,30.88,32,0.41,21,3903.41,16,71.28,76,3974.21, 3
44958,2,31.58,12,31.13, 6,0.16,28,3907.32,-48,3964.82,54,3850.55,-6
45263,2,31.41,10,31.17,-12,0.15, 2,3905.37,-32,3937.68,14,3856.77, 7
45367,2,31.07, 0,31.25, 2,31.97,-22,3904.39, 0,3850.61,-36,3930.00,16
45472,2,30.92,-3,31.34,23,31.97,12,3904.39, 0,19.82,-5,2.99,19
45577,2,31.20,-13,31.56,-16,0.12,29,3904.39,16,148.90,76,34.82, 1
45682,2,31.19,10,0.27,65,31.96,-249,3904.39,16,432.80,-34,67.62,-5
45787,2,31.00,127,0.77,-18,31.89,40,3905.37, 0,159.15,-52,3963.84,21
45892,2,31.02,-158,30.93,-14,0.12,-57,3905.37, 0,3899.63,102,3854.76,36
45996,2,30.47,406,31.93,92,0.40,-129,3904.39,32,50.18,100,3828.84,187
46101,2,31.44,29,31.19,280,31.67,-228,3905.37,-16,120.67,-141,3903.23,105
46206,2,31.93,19,31.46,217,1.07,-13,3904.39, 0,115.49,96,3879.63,-10
46311,2,0.24,-19,31.26,-21,0.60,-57,3903.41,-16,3964.88,-4,3838.84, 9
46416,2,0.06,25,31.78,67,0.66,-10,3902.44,32,3979.82,-99,3978.05,28
46521,2,0.13, 1,31.53,-9,0.73,-17,3903.41,16,3931.77,-8,46.34, 1
46626,2,0.28,-36,0.09,31,0.90,-338,3904.39, 0,3971.34,-87,5.61,40
46731,2,0.26,-3,31.68,-48,0.71,-6,3904.39, 0,3918.29,22,3982.99,-2
46836,2,0.42,-12,31.54, 6,0.68,61,3904.39, 0,2.87,-13,3993.60, 6
46941,2,0.25,-25,31.43,-5,0.77,25,3906.34,-32,0.85,-8,10.00, 4
47045,2,0.27,-3,31.72,-6,0.71,-6,3903.41,32,8.60,-65,33.60,-16
47150,2,0.23,-3,31.35,-25,0.58, 2,3903.41,48,3828.84,61,3988.23, 4
47254,2,0.16,33,31.35,60,0.69,-2,3905.37,-16,3990.37,-6,8.11,-7
47359,2,0.15, 4,31.35, 4,0.55,11,3905.37,16,7.62,-19,6.71,-1
47464,2,0.20,15,31.34,17,0.51,-4,3906.34,-32,3978.23,-10,2.93, 5
47569,2,0.19, 3,31.28,-16,0.60,-12,3904.39,-32,3930.24,14,3975.79,-10
59917,3,31.67,-7,31.30, 6,0.31,-24,3905.37,-32,3958.35,-33,3970.18,-1
60222,3,31.66,-7,31.18,11,0.26,-18,3905.37,-16,3924.51,-24,3944.15, 0
