Time(ms),AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ
1795,31.69,-3,0.62,-14,0.60,-5,3879.02,32,3974.21, 4,3990.67,-1
1901,31.69, 0,0.59, 1,0.61,13,3879.02, 0,3984.15, 0,3977.56, 0
2006,31.72,-10,0.57, 6,0.70,10,3879.02, 0,3993.54, 0,3948.78, 6
2111,31.79,11,0.50,-7,0.70,-7,3880.00,16,3978.66,-4,3967.01,14
2216,31.77,-1,0.40,-9,0.70,-24,3880.00,-16,3969.94, 4,3974.27,12
2321,31.76, 5,0.38, 2,0.72,-28,3881.95,-64,3983.96, 5,3971.52, 7
2426,31.77, 1,0.35, 0,0.74,-4,3879.02,16,3992.87, 4,3990.06, 6
2531,31.75, 7,0.33, 0,0.79,11,3880.98, 0,2.20, 6,3989.57, 3
2636,31.76, 0,0.33, 5,0.76, 9,3880.98,-32,9.09, 4,3970.12,13
2741,31.74,15,0.34, 6,0.73,-4,3880.98,-32,27.38, 2,3978.41,-4
2845,31.78, 2,0.43,-4,0.79, 1,3880.00,-16,15.79,-5,3994.39, 8
2949,31.78,16,0.46, 1,0.76,11,3880.00, 0,1.52,-1,10.37,-4
3053,31.84,-12,0.41,-6,0.69,-22,3880.98,-32,3980.00, 3,38.17,11
3158,31.74, 3,0.41,-21,0.68, 7,3879.02, 0,3983.78, 8,43.60,-12
3262,31.61,-10,0.44,16,0.72, 4,3880.00,16,6.16,-3,40.24, 6
3366,31.66,-10,0.46, 7,0.66,-9,3881.95,-32,3985.49,-2,76.16,32
3471,31.60,-10,0.52,-15,0.62,-4,3880.98,-32,3929.70,-17,136.59,39
3576,31.36,11,0.58,-8,0.32,-15,3880.00,-16,3866.65,-3,286.71,30
3681,30.87, 5,0.29, 8,31.72,-3,3881.95,-32,3908.35,27,286.10,-102
3786,30.93,-3,0.11,-10,31.68,-13,3882.93,-48,21.46, 5,194.45,-37
3890,30.49, 1,0.14,15,31.61,19,3880.98, 0,3965.55,-30,3693.48,-187
3995,31.41,19,0.17,-22,0.25,11,3880.00,16,3965.30,38,3695.00,209
4100,31.33,35,0.19,-19,0.44,21,3881.95,-16,17.13,-2,3922.56, 9
4205,31.36,-16,0.10,-37,0.58,-17,3881.95,-32,23.05,-25,3970.55,-80
4310,31.38,67,0.15,-89,0.72,13,3881.95,-16,15.18,-48,3956.89,-203
4415,31.40,-14,0.15,-100,0.66,-50,3880.00,32,26.34,-96,3992.13,-45
4519,31.35,-98,0.28,45,0.38,-38,3881.95,32,47.44,-85,293.54,-489
4624,31.10,-28,0.16,-17,0.07,-47,3880.98,16,1.83, 3,240.49,-79
4729,30.67,77,0.37,-14,31.63,80,3880.98, 0,3.41,-45,3962.07,-163
4834,31.15,-4,0.10,32,0.13,36,3882.93, 0,3935.30,-39,3785.30,41
4939,31.01,-19,0.24, 3,32.00,-65513,3880.98,32,3989.88,-1,42.26,-15
5044,31.11, 2,0.21,-12,0.06, 8,3880.00,16,3978.41,-10,3979.02,-13
5148,31.47,-7,0.27, 1,0.22,33,3883.90,-32,3954.51,-12,17.62,186
5253,31.09,-2,0.32,30,31.97,30,3879.02,80,3936.77,-16,74.45,-31
5358,31.08, 4,0.31, 5,31.98,19,3880.98,32,3925.91,-3,3913.48,-45
5463,31.16,19,0.46, 0,0.07, 6,3882.93,-32,3973.11,24,3923.17,44
5568,31.14,37,0.57,-9,0.20,25,3881.95,-16,3981.16,-6,3977.68,37
5673,31.18,-1,0.59,-3,0.22,15,3881.95, 0,3987.26, 1,19.51,-4
5778,31.41,-7,0.59,-9,0.21,11,3881.95,16,3989.76,10,28.90,-20
5883,31.44,21,0.69,-3,0.26,-13,3881.95,32,3982.01,-5,46.83,28
5988,31.40,-21,0.58,-20,0.19,-12,3882.93,-16,3959.09, 6,75.61,13
6092,31.26,-2,0.39,14,31.97,-4,3882.93,-32,24.39,21,151.77,14
6197,31.05,28,0.72, 6,31.81,29,3882.93,-32,32.50,-19,3959.70,-88
6302,31.35,32,0.67,-7,31.95,15,3881.95, 0,34.94,10,3972.56,31
6407,31.25,-1,0.59,21,31.96,-26,3881.95,32,35.12, 7,3934.88,-4
6512,31.11,31,0.54,28,31.86,-16,3880.98,48,26.16,-15,3977.93,-49
6617,31.10, 2,0.65, 8,31.75,14,3880.98,32,3985.06, 1,23.72,31
6722,30.92,18,0.37,-20,31.77,-10,3882.93, 0,3992.93,-16,101.65,-58
6827,30.98, 2,0.28, 6,31.64, 2,3881.95,16,3982.13,-4,11.34,-43
6932,31.18,-29,0.19,11,31.49,-15,3883.90, 0,3986.28,-6,3979.39,-23
