Time(ms),Teste,AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ
85954,1,31.68,-6,31.37,16,0.61,12,3908.29, 0,1.46, 8,3995.98, 1
86259,1,31.67, 1,31.42,13,0.61, 0,3905.37,16,7.68,-11,5.37, 4
86364,1,31.65,-1,31.43,14,0.61,15,3906.34,32,10.61,-8,14.02, 2
86469,1,31.61, 0,31.45,-20,0.60,23,3907.32,16,0.00,65533,12.32,-1
86574,1,31.57,-19,31.45, 5,0.58,56,3904.39, 0,12.93,19,21.40,-4
86679,1,31.55,19,31.56, 5,0.67, 6,3909.27,-16,44.51, 9,11.83,-11
86784,1,31.48,-6,31.46,23,0.65, 8,3908.29, 0,3985.12,30,3986.77, 6
86889,1,31.50, 2,31.57, 6,0.63,-6,3906.34, 0,3992.80,-2,3990.24,-10
86994,1,31.52,10,31.58,-6,0.64, 4,3906.34, 0,3990.98,-1,3982.32,-2
87099,1,31.56, 0,31.57, 0,0.65, 7,3906.34,32,3991.95, 4,3987.26, 2
87204,1,31.55,11,31.56, 3,0.64,26,3906.34, 0,3993.90,-3,3991.95, 3
87309,1,31.55,-24,31.53,13,0.63,19,3906.34,-16,0.73, 3,3995.49,-5
87414,1,31.55, 7,31.53, 6,0.64,-9,3905.37, 0,2.62, 0,3993.60, 3
87519,1,31.56, 5,31.56, 7,0.65, 9,3905.37,32,2.13,-6,0.37, 4
87624,1,31.56,-10,31.55, 5,0.65,-25,3907.32, 0,0.37,-1,0.55, 2
87729,1,31.56, 1,31.57, 5,0.64, 0,3905.37,-16,0.24,65530,2.62,-2
87834,1,31.56,-13,31.57,-7,0.65,-19,3905.37,32,3993.78,-6,0.00, 3
87939,1,31.56,-9,31.54,-4,0.65,-1,3907.32,-16,3990.37, 3,3993.17, 2
88044,1,31.55,-2,31.53, 5,0.63,20,3907.32, 0,3987.20, 0,3988.72, 1
88149,1,31.58,-3,31.53,-2,0.64,-8,3907.32,-16,2.87, 4,0.06,65530
88254,1,31.29,-38,31.47,121,0.39,-43,3907.32,-16,3857.68,-104,3991.95,-3
88359,1,31.68,-8,31.42,-13,0.32,24,3907.32,16,3967.87,-35,23.90,20
88464,1,31.72,15,31.38,-41,0.19,-4,3906.34,-32,3956.10,-26,96.34,15
88569,1,31.70, 3,31.57, 3,0.28,-8,3906.34, 0,11.46,17,135.55,22
88674,1,31.48,188,31.67,-123,0.22,-83,3905.37,48,115.85,-29,155.43,20
88779,1,31.20,-4,31.42, 6,0.17,-23,3905.37,-16,3937.20,-16,142.38,-23
88883,1,30.90,-42,31.58,53,31.64,30,3906.34, 0,60.85,15,135.18,-3
88988,1,30.75,21,31.83,43,31.90,-7,3908.29,-32,137.99,-96,45.18, 0
89092,1,31.07,-10,31.93,-35,31.53, 7,3906.34,32,19.82,-91,27.56,-13
89197,1,31.06, 9,31.61,-2,31.56,20,3906.34,-32,3921.95,103,3978.41,17
89302,1,31.00,63,31.68,110,31.49,-38,3906.34, 0,30.00,17,29.45,11
89407,1,31.10,-12,31.70,-5,31.44,21,3904.39,32,35.12,12,16.10,-10
89512,1,31.17,-10,31.68,-17,31.43,-18,3906.34,-16,24.63, 4,3991.34, 6
89617,1,31.27,10,31.80,14,31.47,-15,3906.34,16,33.84,-72,9.57,20
89721,1,31.22,-1,31.31,-23,31.60,-3,3905.37, 0,82.44,92,3968.78,-11
89826,1,31.47,-1,31.81,-23,31.73, 6,3905.37, 0,3978.35,-118,3940.67, 8
89931,1,31.42,-1,30.99,-27,31.62,-13,3907.32, 0,3663.54,162,3960.55,39
90036,1,31.14,17,31.70,38,31.20,10,3907.32, 0,3898.35,53,34.82,10
90141,1,31.07,32,31.96, 8,31.28,-21,3907.32, 0,3880.55,-16,48.84, 9
90246,1,31.12,-52,0.09,-13,31.06, 6,3906.34, 0,3932.26,47,54.51,13
90350,1,31.01, 8,31.84,24,31.11,-63,3905.37,-16,192.07,-70,36.65,42
90455,1,31.14, 4,31.62,-45,31.21,-46,3906.34, 0,174.33,-16,34.45, 8
90560,1,31.39,17,31.20,-6,31.26,-13,3906.34,-32,114.27,28,12.62,-20
90665,1,31.68, 5,31.35,43,31.41,15,3906.34,-32,107.62,-39,3.84,21
90769,1,31.81,-19,31.42,-24,31.59, 7,3906.34,-16,45.18,-25,3976.40,-13
90874,1,31.78,-11,31.13,23,31.73, 6,3907.32,-32,101.10,-20,3953.11,10
90979,1,31.85,-11,30.98,33,31.63,16,3907.32,-32,22.56, 5,3982.99,-11
91084,1,31.69, 0,31.20,-18,31.73,21,3905.37,32,2.62,-6,3967.74,-6
91189,1,31.77, 3,31.04,-9,31.76,-11,3905.37,-16,3987.68,-11,3971.71, 3
91294,1,31.81, 4,31.08,-7,31.82,24,3905.37,16,3992.74,-32,3988.48,-1
91399,1,31.83,-2,31.08,29,31.78, 0,3907.32,-48,3968.66,-5,3983.11, 6
