min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,classe
-3032.0,-21084.0,-4076.0,-864.0,-7627.0,-31224.0,10108.0,-13020.0,8996.0,-800.0,7091.0,23178.0,3038.32,-16631.04,591.04,-831.04,-43.8,-4110.82,3179.9526124771105,1705.275121028862,2269.0650846549115,18.217530019187564,3761.444892591144,13473.978433543673,17360.18991113429,12748.907933162223,0
-16976.0,-28704.0,-6184.0,-1264.0,-25053.0,-32768.0,12908.0,-792.0,32767.0,-1152.0,21887.0,21271.0,2511.837937384899,-9306.887661141804,9051.782688766114,-1210.195211786372,-1004.342541436464,-1442.4088397790056,4998.686198246729,5198.825788970531,6792.607218565196,18.997688506804067,5506.137738570404,7501.850181516927,16241.938452605957,7382.704219271598,1
-2824.0,-21440.0,-5012.0,-1104.0,-5675.0,-26571.0,10052.0,-12980.0,5712.0,-1024.0,9424.0,9861.0,3025.84,-15747.36,2848.64,-1060.16,80.06,-5031.3,2681.801330151061,1694.8304193635422,2279.335532649812,20.44246560471608,2542.9373284451976,7163.189410451186,16647.226991627023,7448.967437252946,0
-11820.0,-17248.0,-4724.0,-1056.0,-7947.0,-8987.0,-3884.0,-7124.0,4892.0,-960.0,3898.0,5564.0,-8206.0,-14111.6,-215.2,-1008.64,-1590.44,-1396.46,1908.6224980335949,1684.2694796261078,1850.4048421899463,19.715739904959182,2900.789645320736,3902.164713130393,16576.226836551556,4626.341880841189,0
-15644.0,-27260.0,-10396.0,-960.0,-12097.0,-14407.0,3424.0,-6108.0,6668.0,-896.0,13909.0,18114.0,-3781.2,-15486.08,789.68,-935.36,1749.5,6960.32,4251.056772145016,3655.028075624044,3222.1604766988253,14.7373810427769,5263.341787305856,6972.172732914754,16796.019025280704,10397.463181374742,0
-2784.0,-20368.0,-3420.0,-800.0,-11550.0,-17521.0,9064.0,-12092.0,6904.0,-736.0,9896.0,23834.0,2288.72,-16582.32,211.12,-769.6,266.24,-1293.8,2340.965502009801,1513.5805685856303,1710.5878830390443,17.6,3530.985163152063,8289.092859897275,16998.17175730869,7516.846306812887,0
-14360.0,-24420.0,-13820.0,-960.0,-9763.0,-21551.0,15020.0,-9068.0,9764.0,-864.0,4532.0,32767.0,2744.9775280898875,-15262.505617977527,692.2808988764045,-906.1573033707864,-1148.0196629213483,6204.75,5027.598411370171,1948.7240113572643,4760.809615050653,18.627573422338063,2947.234087490728,10045.1333287316,17001.523717253047,9328.699532297327,1
-9504.0,-27964.0,-5188.0,-1264.0,-12937.0,-18802.0,12196.0,-2940.0,23540.0,-1152.0,15799.0,23392.0,3780.858536585366,-12360.926829268292,7044.878048780488,-1216.1560975609757,-2392.7536585365856,2229.839024390244,3697.0662969952737,4011.314227740135,6005.431032214829,19.927062720667305,6174.050002586458,6713.088326286634,16574.097701854218,8241.877559676695,1
-14932.0,-8660.0,-3980.0,-1072.0,-847.0,-1375.0,-13156.0,-7424.0,-2532.0,-992.0,270.0,2472.0,-13914.56,-8103.52,-3078.88,-1029.44,-183.38,-34.48,367.96935524578674,282.3123263337965,313.2212406590588,16.814469958937153,289.6587571609048,587.3276850277024,16399.32420382615,1206.3731268491188,0
-19856.0,-30000.0,-14080.0,-1168.0,-10631.0,-21997.0,14780.0,-2148.0,16236.0,-1072.0,17519.0,32767.0,3624.807339449541,-14007.54128440367,-1549.1743119266057,-1116.4770642201836,121.22935779816514,1914.871559633028,7717.946587771209,3987.946979421983,4279.428078147519,17.984497059980935,4922.915755378205,8233.194948868384,17207.14077087709,7604.804626449601,1
