n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
50,-6100.0,-23172.0,-8088.0,-1168.0,-8348.0,-4373.0,4752.0,-12644.0,5796.0,-1088.0,7366.0,26515.0,-2540.88,-16048.16,743.68,-1129.28,-821.64,6337.2,3334.233229034826,1752.715463045842,2376.875911275134,19.749470878988124,3437.413363330049,9051.159287074777,16782.226030195983,8586.966927745481,2025-11-25T15:16:56.011857,2025-11-25T15:16:58.619298,0
50,-5600.0,-22692.0,-7160.0,-1152.0,-5903.0,-12663.0,6184.0,-9216.0,1856.0,-1088.0,7667.0,30162.0,-716.8,-16543.92,-3201.68,-1121.6,916.78,6716.38,2243.220827292757,2829.6774080449522,2177.120019107812,15.758172482873768,2872.674435365066,10274.931966470629,17178.841378853926,10151.84548580142,2025-11-25T15:16:58.619298,2025-11-25T15:17:01.283799,0
50,-7192.0,-28364.0,-6536.0,-1168.0,-5735.0,-19263.0,740.0,-6932.0,3292.0,-1072.0,8003.0,24828.0,-2812.24,-15960.88,-2463.6,-1120.0,623.24,-188.04,1980.556755662407,3450.720438633069,2187.054164852805,20.983803277766402,2876.8275552072982,9776.477795116194,16679.24024404182,8416.721150473448,2025-11-25T15:17:01.283799,2025-11-25T15:17:03.940256,0
50,-176.0,-18628.0,1968.0,-1152.0,-4046.0,-19334.0,10568.0,-10308.0,11468.0,-1072.0,9059.0,8194.0,4206.56,-14203.44,7072.0,-1113.28,863.1,-1383.72,2895.029424099175,1848.6076940227204,2602.3674144901215,18.6837255385536,3001.666452156202,4863.745667857233,16860.847257006335,4983.314167144606,2025-11-25T15:17:03.940256,2025-11-25T15:17:06.596699,0
50,-11560.0,-18628.0,-9036.0,-1136.0,-16641.0,-16178.0,4508.0,-9596.0,10024.0,-1072.0,523.0,3884.0,-5672.72,-13565.12,-2764.8,-1102.4,-5773.88,-5175.04,4344.092278209569,2522.3521771552837,5472.062046431857,18.172506706560874,4281.6616056853445,5001.889110965976,16602.415066225924,9018.13060399104,2025-11-25T15:17:06.596699,2025-11-25T15:17:09.254421,0
50,-12416.0,-17576.0,-12840.0,-1136.0,-5666.0,-12499.0,-3976.0,-10116.0,264.0,-1056.0,6015.0,7380.0,-9242.24,-13237.12,-3094.24,-1099.84,-347.82,-1363.26,2232.067835528302,1888.220671849559,2577.1099670755225,21.42088700310984,1841.770177736625,3950.822014771103,16835.09933580653,3898.3977416549683,2025-11-25T15:17:09.254421,2025-11-25T15:17:11.915304,0
50,-13604.0,-16660.0,-6268.0,-1136.0,-3935.0,-7145.0,-5408.0,-8032.0,3828.0,-1056.0,4268.0,5453.0,-8842.48,-13717.12,-1122.8,-1086.08,66.42,-454.6,1876.7609356548319,1777.4867722714564,1892.8252322916662,21.380215153267283,1466.7174518631732,2367.229705795363,16635.114409109417,2625.007106958864,2025-11-25T15:17:11.915304,2025-11-25T15:17:14.569048,0
50,-7840.0,-18624.0,-1056.0,-1104.0,-3198.0,-5078.0,-2276.0,-12968.0,3992.0,-1040.0,3933.0,5025.0,-4296.24,-15901.52,1042.48,-1072.0,15.52,-65.48,1157.5437194335254,998.135186034437,1118.696924819229,16.93280839081338,1446.418158624953,2268.2510376058467,16586.695835462036,2630.2077937004233,2025-11-25T15:17:14.569048,2025-11-25T15:17:17.224329,0
50,-8196.0,-16488.0,-2376.0,-1088.0,-3281.0,-3441.0,-3676.0,-13612.0,2568.0,-1024.0,873.0,2047.0,-6044.32,-15344.72,-424.08,-1057.28,-1116.8,-474.12,1166.499540334243,657.8041970069817,1233.3640474734132,18.888133841118343,939.7550957563359,1303.78307459485,16589.763705627574,2138.0538301463266,2025-11-25T15:17:17.224329,2025-11-25T15:17:19.887102,0
50,-7872.0,-18580.0,-5676.0,-1088.0,-5402.0,-7964.0,-2844.0,-13368.0,2932.0,-1024.0,1835.0,3588.0,-5140.56,-15639.76,-2377.6,-1054.72,-1196.44,-1171.82,1139.8644157968965,1090.9505316007687,1947.4806699939284,13.889622025094852,1523.9900020669427,2598.1093178694387,16794.316185992695,3190.078159784926,2025-11-25T15:17:19.887102,2025-11-25T15:17:22.547839,0
