n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
50,-11580.0,-21636.0,-4676.0,-608.0,-9026.0,-9888.0,8292.0,-7544.0,9556.0,-528.0,14880.0,14322.0,860.0,-15353.68,2540.32,-572.16,-1304.96,3255.06,4505.069428987748,2567.4251182069556,3421.83126083096,19.348757066023648,4361.128560177973,6096.111683392948,16617.796541451793,7063.440295342098,2025-11-25T15:28:23.065908,2025-11-25T15:28:25.671470,0
50,-19144.0,-32768.0,-8004.0,-608.0,-27862.0,-14712.0,11744.0,6340.0,12460.0,-544.0,14989.0,31081.0,671.04,-14509.84,2546.0,-579.52,-873.98,1935.78,4909.664432361951,6528.514989980493,4646.684512639093,17.899988826812155,7742.554843176767,11056.525496357344,16701.12523232326,10144.67554257291,2025-11-25T15:28:25.671470,2025-11-25T15:28:28.333648,0
50,-32768.0,-32768.0,-16228.0,-656.0,-24235.0,-32768.0,16980.0,32767.0,26532.0,-544.0,19772.0,26823.0,-3321.84,-4416.86,-289.52,-609.92,-116.08,-4927.2,12769.215761917409,17530.009924709113,8257.25086996877,27.83080307860339,10039.418514714884,12746.342669173773,18969.92138957435,15034.84534067367,2025-11-25T15:28:28.333648,2025-11-25T15:28:30.983152,0
50,-32768.0,-32768.0,-12560.0,-704.0,-15623.0,-32768.0,12008.0,32767.0,17928.0,-624.0,20510.0,22955.0,-3807.92,-2898.2,-601.12,-655.68,-704.28,-2042.94,11748.533743135778,17921.194167800313,5583.565486819331,19.59330497899729,8726.113746771813,13264.420257832606,18160.125637293484,14366.35536974882,2025-11-25T15:28:30.983152,2025-11-25T15:28:33.644691,0
50,-32768.0,-32768.0,-10136.0,-752.0,-17387.0,-29102.0,25864.0,32767.0,21840.0,-624.0,20228.0,31854.0,173.6,-6459.52,678.4,-698.56,687.44,-4388.64,11903.330438158893,16443.965794466978,6454.353247227797,28.371929789846867,8880.083835550202,14354.872184397882,17539.604859707546,15555.322588543313,2025-11-25T15:28:33.644691,2025-11-25T15:28:36.303250,0
50,-32768.0,-32768.0,-10100.0,-848.0,-22430.0,-32768.0,19320.0,32767.0,12852.0,-704.0,21344.0,29815.0,-2677.76,-3414.88,-361.52,-747.52,-1024.44,2741.38,12260.069720128022,16731.082827647468,5610.888037521333,31.522842511423363,10221.506540936125,15418.991541459513,16935.256342828696,16935.687280882004,2025-11-25T15:28:36.303250,2025-11-25T15:28:41.986284,0
50,-32768.0,-32768.0,-8820.0,-864.0,-16847.0,-32768.0,26780.0,32767.0,20656.0,-800.0,22216.0,26080.0,-2245.12,-5630.48,1377.12,-835.84,-377.48,-4418.3,11869.887198520464,17339.80226904563,6738.924355236524,18.537917898189107,9202.713011367898,15476.428543110325,18101.78702937092,17108.494188829165,2025-11-25T15:28:41.986284,2025-11-25T15:28:44.639882,0
50,-32768.0,-32768.0,-7836.0,-912.0,-24598.0,-26006.0,18300.0,32767.0,24636.0,-832.0,25572.0,32767.0,-3156.24,-2747.92,482.72,-872.32,-466.06,1245.5,12698.016485357073,16853.34853593196,5708.437681327528,21.042281245150203,10276.226929004633,14711.748288017981,17346.405858518137,16147.81201699408,2025-11-25T15:28:44.639882,2025-11-25T15:28:47.296639,0
50,-27116.0,-32768.0,-11612.0,-960.0,-20355.0,-30928.0,12812.0,32767.0,22720.0,-864.0,20931.0,24752.0,625.2,-9190.02,605.44,-914.88,-4.08,-3988.16,7747.158704970488,14047.781043979865,6505.821332191655,22.783011214499282,8997.93556731765,14683.47419429067,15898.5809452741,16056.736666087416,2025-11-25T15:28:47.296639,2025-11-25T15:28:49.956619,0
50,3140.0,-28568.0,-6084.0,-944.0,-3209.0,-22137.0,11284.0,-4076.0,3752.0,-896.0,2897.0,6552.0,6695.92,-15812.8,-1689.44,-919.68,-119.06,-1608.7,2127.57386560373,7425.732211708149,1531.1291018068987,14.747799835907728,1447.0441100394971,5180.710006360132,17633.22180556796,4186.653559436058,2025-11-25T15:28:49.956619,2025-11-25T15:28:52.618526,0
