n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
50,-21196.0,-20612.0,-4352.0,-1376.0,-15049.0,-32768.0,14980.0,2288.0,11760.0,-1296.0,11260.0,28871.0,-672.72,-11233.92,3664.24,-1339.2,-3864.28,2103.6,9588.670838108897,5273.928220368571,4276.211288325216,17.30664612222715,6897.311693812308,13548.291177857081,16234.55030323486,14269.490009714867,2025-11-25T15:46:53.226314,2025-11-25T15:46:55.769242,0
50,-21048.0,-32768.0,-10500.0,-1408.0,-14358.0,-29236.0,2304.0,17040.0,9104.0,-1312.0,20287.0,26711.0,-8424.08,-4327.76,-620.32,-1359.68,1298.62,114.96,6133.909499951887,15573.743553250131,3475.6470099249145,20.858993264297297,7680.666101035769,11368.838360993615,18382.97205222425,11899.772672367426,2025-11-25T15:46:55.769242,2025-11-25T15:46:58.448991,0
50,-26384.0,904.0,-10964.0,-1392.0,-10992.0,-22331.0,4924.0,18368.0,14376.0,-1312.0,12688.0,13250.0,-11087.12,11048.48,-373.6,-1357.76,-315.94,-947.22,6163.270419639236,3639.3043414366985,4097.6949618047465,17.819719414177094,4545.687404166723,7878.092805470116,17319.80551731428,7453.53499720821,2025-11-25T15:46:58.448991,2025-11-25T15:47:01.090207,0
50,-21640.0,-5132.0,-6788.0,-1408.0,-18058.0,-27512.0,44.0,20436.0,10092.0,-1344.0,17908.0,19831.0,-11636.4,9876.16,1304.0,-1372.8,5331.66,-5435.16,4393.6079570212,4201.698777209047,3655.9957986846757,19.2,7719.7754620455125,8694.637166345701,16679.955703339878,12205.173274873121,2025-11-25T15:47:01.090207,2025-11-25T15:47:03.746163,0
50,-23620.0,-3560.0,-3832.0,-1424.0,-21616.0,-13953.0,3800.0,20328.0,8820.0,-1344.0,11696.0,22366.0,-11245.6,10257.76,2069.04,-1384.96,-5741.3,5542.6,5377.4067207158505,4151.565847050965,2669.01843350697,17.28,8612.177523135482,9448.232992470073,16789.93334525677,13434.633981129437,2025-11-25T15:47:03.746163,2025-11-25T15:47:06.406281,0
50,-21820.0,-1836.0,-14216.0,-1424.0,-31270.0,-21919.0,3748.0,19372.0,11568.0,-1328.0,22611.0,27541.0,-10852.24,10078.64,1154.48,-1391.36,2536.9,-2305.76,5862.443854093615,4964.499224534132,4256.9043317415535,18.648066923946836,10504.623826201489,10178.956391615007,16968.924084923034,12475.902379570896,2025-11-25T15:47:06.406281,2025-11-25T15:47:09.076208,0
50,-26404.0,-25648.0,-15352.0,-1424.0,-31656.0,-32768.0,1796.0,17680.0,13972.0,-1344.0,27470.0,30950.0,-13209.2,3636.0,-78.88,-1394.24,-3161.78,839.38,5334.240444524412,9652.649990546637,5803.234576130798,19.202666481507197,13187.389097603816,11068.165099762471,17769.533697975952,14805.202988985153,2025-11-25T15:47:09.076208,2025-11-25T15:47:11.729720,0
50,-14572.0,-32768.0,-6220.0,-1440.0,-16082.0,-32768.0,6896.0,264.0,10208.0,-1360.0,11811.0,14193.0,-1376.32,-16042.32,1959.52,-1401.28,-2271.78,-1591.3,5770.326567673618,7000.177510435004,3445.1837816871252,18.12737156898374,5179.140964638827,11325.327635437308,17766.144859272794,10453.960621293736,2025-11-25T15:47:11.729720,2025-11-25T15:47:14.384889,0
50,-32768.0,-32768.0,-16336.0,-1472.0,-16763.0,-32768.0,12900.0,32767.0,22936.0,-1376.0,20558.0,25391.0,-6620.16,-4498.56,645.28,-1414.4,-694.7,90.62,11764.566377661355,16195.678937494407,7663.432481701656,23.29635164569766,7327.075122448247,13115.774993327692,18733.44095859118,12737.52941864548,2025-11-25T15:47:14.384889,2025-11-25T15:47:17.050378,0
50,-19952.0,-26000.0,-6080.0,-1456.0,-5763.0,-8086.0,7564.0,-3936.0,12080.0,-1392.0,16958.0,32767.0,88.96,-14981.6,2980.8,-1423.36,1201.1,7052.5,5912.677664003002,4724.03197279612,5229.135301366757,15.987194875899899,4999.379702523104,9907.174800617984,17332.545030597797,10312.472047599036,2025-11-25T15:47:17.050378,2025-11-25T15:47:19.703593,0
