fall_id,n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
1,152,-22796.0,-32768.0,-32768.0,-1360.0,-32768.0,-32768.0,32767.0,20036.0,17120.0,-1216.0,29321.0,32767.0,544.4407894736842,-10851.28947368421,-7697.6578947368425,-1284.2105263157894,-2417.1381578947367,271.0855263157895,5549.479494005618,7562.657206396978,9997.61756297947,32.30052785517586,10742.294224141213,11711.21063899216,17489.670809016337,10493.462114824504,2025-11-25T16:53:09.571193,2025-11-25T16:53:21.581296,1
2,488,-1792.0,-22804.0,-7844.0,-1360.0,-6930.0,-18096.0,19004.0,-5912.0,4028.0,-1264.0,4342.0,19085.0,7120.836065573771,-13213.213114754099,-2242.0163934426228,-1310.5901639344263,-393.57377049180326,-314.98155737704917,6446.040519804508,4240.187156071832,2086.607946175498,19.423981332177952,1792.5535278745847,4230.524265760032,17089.2253974506,3436.974102686024,2025-11-25T16:53:21.580712,2025-11-25T16:53:31.063279,1
3,818,-17872.0,-28260.0,-20020.0,-1376.0,-10095.0,-23616.0,19404.0,2228.0,14340.0,-1232.0,16736.0,24286.0,2881.349633251834,-11426.84107579462,-4105.863080684597,-1309.007334963325,241.55134474327627,-574.6711491442543,8840.141030278523,5363.323861442059,6519.358207933952,19.590987523963236,4087.36466295222,6207.236179330471,17271.797992415635,5648.089300688023,2025-11-25T16:53:31.062413,2025-11-25T16:53:44.922781,1
4,1380,-23500.0,-24048.0,-15072.0,-1376.0,-11209.0,-32174.0,23640.0,9732.0,13132.0,-1248.0,25639.0,26452.0,250.5304347826087,-10531.730434782608,-2416.942028985507,-1313.5768115942028,506.50217391304346,-244.01956521739132,8979.466680998414,8382.704451520254,5283.772732564582,17.635784971846274,3631.6297981175044,6862.367965334283,17029.83862495381,6103.566332906604,2025-11-25T16:53:44.921102,2025-11-25T16:54:06.596909,1
5,790,-27896.0,-24232.0,-19216.0,-2562.0,-17464.0,-25052.0,25192.0,4704.0,8468.0,-1264.0,13758.0,27880.0,2182.2632911392407,-12127.53417721519,-3106.8962025316455,-1325.9367088607594,455.69620253164555,-168.69240506329115,9275.62493122997,5902.706587571374,4476.219150171864,47.68887612037108,3297.7325441920775,6223.150326209431,17180.726070715675,5590.3012266998685,2025-11-25T16:54:06.594483,2025-11-25T16:54:19.653170,1
6,941,-16640.0,-25940.0,-16792.0,-1392.0,-23177.0,-32768.0,26632.0,9720.0,15320.0,-1264.0,29033.0,31173.0,4813.75132837407,-12690.206163655685,910.1253985122211,-1332.2507970244421,84.49096705632306,-46.16578108395324,8056.169510475841,3987.1375145644306,5144.552379471452,20.71672233681507,5283.821814787901,6673.896564369294,16914.84525014411,6657.237349236979,2025-11-25T16:54:19.651455,2025-11-25T16:54:38.379904,1
7,853,-18080.0,-25616.0,-16936.0,-1408.0,-11225.0,-32768.0,20692.0,8120.0,12484.0,-1280.0,11471.0,32767.0,-876.4595545134819,-6319.967174677608,-5072.089097303634,-1347.8452520515827,147.81828839390386,-492.9906213364596,11429.809744875458,8401.56157755677,5420.804331292341,18.97525918253357,3240.1690345733646,6206.770132070481,17086.430574513673,5179.045188832266,2025-11-25T16:54:38.378624,2025-11-25T16:54:53.621925,1
8,554,-16476.0,-24020.0,-15696.0,-1408.0,-9282.0,-25053.0,15640.0,12260.0,13700.0,-1312.0,16542.0,23536.0,1657.7906137184116,-9455.870036101083,564.4981949458484,-1366.0938628158844,1323.3068592057762,33.292418772563174,9402.551817362086,7655.943410145798,7348.373701374399,18.349353421830184,4415.077493960733,6340.3142738658125,16917.180482088876,6471.980262299521,2025-11-25T16:54:53.619335,2025-11-25T16:55:05.537563,1
9,331,-16832.0,-27024.0,-21132.0,-1440.0,-12603.0,-20987.0,10596.0,9712.0,6336.0,-1328.0,16837.0,21011.0,-7410.598187311179,-3182.9728096676736,-6766.513595166163,-1391.95166163142,1501.1027190332327,425.9486404833837,6325.220045265137,10617.458818692554,5696.793179833992,19.447289249983292,6152.622924696193,6236.459633615265,16909.924391639393,7109.047968909476,2025-11-25T16:55:05.536632,2025-11-25T16:55:14.619054,1
10,700,-21928.0,-25308.0,-24008.0,-1440.0,-12635.0,-28465.0,20684.0,6540.0,9344.0,-1344.0,12254.0,21979.0,3348.72,-10047.302857142857,-3523.7771428571427,-1397.5314285714285,43.37428571428571,-17.72714285714286,11243.442597679516,5105.521892980787,4810.588214291216,17.98373505506051,3605.7530954884433,6574.82379979921,17138.20547382203,5829.933840773881,2025-11-25T16:55:14.618417,2025-11-25T16:55:29.169336,1
11,948,-15660.0,-23116.0,-22812.0,-1456.0,-9179.0,-17920.0,20280.0,6876.0,7328.0,-1328.0,11718.0,25032.0,2803.2489451476795,-11158.506329113925,-5016.679324894515,-1388.3206751054852,2.1434599156118144,-359.51371308016877,9224.377450621176,5189.117482767175,5536.087091180351,19.064140979183676,3058.2621358633633,5657.073320135599,17182.412267235955,5050.7915808620355,2025-11-25T16:55:29.168101,2025-11-25T16:55:45.643436,1
12,482,-14448.0,-27340.0,-20644.0,-1440.0,-9277.0,-17494.0,6924.0,1300.0,9436.0,-1328.0,13739.0,18290.0,-3223.850622406639,-12633.170124481328,-6157.128630705394,-1391.0373443983403,-24.363070539419088,-1080.2800829875519,5105.45220995582,5815.404359029943,5856.169525771473,18.426107211580966,3980.2266260523156,4896.6803699669745,17097.96312365052,5177.893316125265,2025-11-25T16:55:45.641821,2025-11-25T16:55:56.245830,1
13,536,-17684.0,-26440.0,-21652.0,-1424.0,-9581.0,-31901.0,21552.0,2432.0,4396.0,-1328.0,12283.0,32767.0,-1752.4925373134329,-9823.119402985074,-7526.55223880597,-1380.9253731343283,408.5820895522388,-296.1324626865672,9429.828050968896,5553.0607400565905,5925.430591529387,18.598116926693944,3344.245073654784,5751.328034760649,17372.778127013087,5147.073241860628,2025-11-25T16:55:56.245084,2025-11-25T16:56:07.511318,1
14,494,-18480.0,-28096.0,-23228.0,-1456.0,-12575.0,-17915.0,10324.0,6824.0,3688.0,-1344.0,12506.0,20958.0,-3275.068825910931,-9714.356275303644,-10058.12955465587,-1397.8623481781376,297.66396761133603,-598.3582995951417,4551.531885127893,7026.5179600068395,5730.8311625082015,19.749782947411475,3674.316341217961,5892.528703830602,17281.107319305724,5282.172437523344,2025-11-25T16:56:07.510810,2025-11-25T16:56:18.662687,1
15,643,-16264.0,-31612.0,-24744.0,-1472.0,-12831.0,-22851.0,13860.0,3620.0,4708.0,-1360.0,10581.0,22870.0,-1122.8553654743391,-12824.653188180404,-7673.01399688958,-1410.48833592535,-200.76671850699844,-257.32970451010885,5594.918381673486,6059.483436511535,4036.4898465494853,18.91302276331802,3786.2220826862645,6631.610466400726,17290.20712908864,6278.207365156444,2025-11-25T16:56:18.661594,2025-11-25T16:56:37.877877,1
16,483,-3904.0,-27740.0,-9516.0,-1472.0,-17261.0,-10012.0,14976.0,-3404.0,17916.0,-1344.0,11192.0,28018.0,4728.207039337474,-12782.848861283645,2331.213250517598,-1410.7826086956522,-2281.289855072464,6675.026915113872,3539.472217179043,4990.329281253406,7877.643578505526,19.253360004310327,5331.57622454535,8276.120487542901,16917.42066312756,9872.549106060746,2025-11-25T16:56:37.876966,2025-11-25T16:56:49.344860,1
17,698,-16996.0,-25252.0,-32768.0,-1472.0,-14396.0,-23613.0,13724.0,-2496.0,17904.0,-1376.0,27103.0,30496.0,2047.0487106017192,-11592.280802292264,1131.1518624641833,-1428.7679083094556,347.28510028653295,885.0243553008596,5268.987178918742,4826.7627872358335,10119.719178656824,18.978060064708224,5464.307165055419,5903.619195980942,16934.52800775639,6167.8935584390665,2025-11-25T16:56:49.343954,2025-11-25T16:56:58.987260,1
