fall_id,n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
0,356,-14360.0,-24420.0,-13820.0,-960.0,-9763.0,-21551.0,15020.0,-9068.0,9764.0,-864.0,4532.0,32767.0,2744.9775280898875,-15262.505617977527,692.2808988764045,-906.1573033707865,-1148.0196629213483,6204.75,5027.598411370171,1948.7240113572645,4760.809615050653,18.627573422338063,2947.2340874907277,10045.1333287316,17001.523717253047,9328.699532297327,2025-11-25T17:10:20.797114,2025-11-25T17:10:30.435625,1
1,302,-22500.0,-23868.0,-13696.0,-960.0,-21067.0,-25724.0,17916.0,7596.0,18708.0,-864.0,15368.0,24500.0,-2591.801324503311,-9306.026490066226,1371.1920529801325,-922.066225165563,-758.7980132450331,1469.205298013245,10416.434163175027,7063.968332925184,6193.086257025387,18.052780921388763,6666.821432202172,8414.83403827001,16820.311811391966,9112.620816462622,2025-11-25T17:10:30.435083,2025-11-25T17:10:40.190434,1
2,312,-21200.0,-20700.0,-9688.0,-992.0,-26221.0,-32768.0,15912.0,13960.0,27352.0,-896.0,10944.0,32767.0,-2487.6666666666665,-7691.961538461538,2533.2051282051284,-945.1794871794872,-925.724358974359,956.6185897435897,10676.42878886759,8012.966315791418,6935.981219030436,18.636704609757974,7099.237207195011,11653.96951323555,16926.604731837895,11201.069711668055,2025-11-25T17:10:40.189863,2025-11-25T17:10:48.467569,1
3,350,-22020.0,-23232.0,-17160.0,-1024.0,-7238.0,-16238.0,32767.0,11480.0,11352.0,-912.0,14582.0,25375.0,-665.9685714285714,-9219.84,-2220.4342857142856,-971.2,2627.44,2013.2485714285715,12202.933332213235,6111.200925476339,5126.229896742153,18.960409881042732,3607.877301619729,6646.801701221054,17125.23916810269,7358.923529433773,2025-11-25T17:10:48.466556,2025-11-25T17:10:56.259253,1
4,117,-9868.0,-16452.0,-11824.0,-1024.0,-7769.0,-12578.0,10116.0,-6684.0,12284.0,-928.0,4310.0,13581.0,-4292.205128205128,-9896.854700854701,6656.752136752137,-982.5641025641025,-217.47008547008548,1133.025641025641,4580.242365733782,1703.393482128112,6060.8066356975905,22.054859578610234,1780.0441777512565,4004.580305936312,14662.870158686601,3492.4552427044136,2025-11-25T17:10:56.258637,2025-11-25T17:11:05.150810,1
5,200,8848.0,-14616.0,-3396.0,-1024.0,-3590.0,-2905.0,14588.0,-10232.0,-248.0,-912.0,2281.0,9145.0,12212.38,-11800.34,-1391.1,-968.96,-612.245,522.68,1118.1245438679896,760.0896555012441,573.82665501003,20.529939113402165,1418.0486186922506,2213.879004733547,17091.509845498644,2557.2081072451997,2025-11-25T17:11:05.150536,2025-11-25T17:11:13.859993,1
6,182,-21632.0,-20948.0,-14988.0,-1008.0,-3665.0,-11481.0,13072.0,3888.0,11252.0,-912.0,17470.0,16719.0,-2608.7252747252746,-9433.186813186812,-3322.21978021978,-969.3186813186813,2738.489010989011,3128.313186813187,11657.188973791232,6228.712445067808,4925.446274871111,19.279824403513388,4379.167075124819,6138.317958362696,17217.39618058547,7185.452918437384,2025-11-25T17:11:13.859359,2025-11-25T17:11:27.655580,1
7,598,-20916.0,-32768.0,-18120.0,-992.0,-7357.0,-25893.0,32767.0,6028.0,15912.0,-880.0,11109.0,32767.0,281.6638795986622,-12118.923076923076,-3641.759197324415,-938.4347826086956,436.37290969899664,-1004.2591973244147,9285.424727152318,6402.746471008301,4122.393808364849,18.686238588280926,3095.6430731794067,8770.88396341591,17173.121865014706,7782.589300511197,2025-11-25T17:11:27.655186,2025-11-25T17:11:45.963371,1
8,307,-21608.0,-21048.0,-14652.0,-1024.0,-8761.0,-16036.0,17388.0,9244.0,15604.0,-928.0,17215.0,31064.0,-743.7915309446254,-10168.312703583062,-4146.0846905537455,-970.527687296417,1835.3127035830619,3405.7622149837134,10424.799055337364,6116.4646624797115,5964.310893625872,17.87310634674401,4987.012855224797,8574.422311314871,17170.18231288684,8276.114208402962,2025-11-25T17:11:45.962408,2025-11-25T17:11:55.765328,1
9,481,-21432.0,-22472.0,-14808.0,-1056.0,-7390.0,-32233.0,17212.0,5332.0,16100.0,-960.0,12836.0,32767.0,1137.4386694386694,-12064.141372141372,-1983.5259875259876,-1007.8004158004157,1088.7422037422039,1747.97920997921,9904.223610736868,5413.243906690288,4901.6063665718175,19.574519900854263,3726.0775036865134,10216.589977521782,17208.151228056857,8492.170235093328,2025-11-25T17:11:55.764409,2025-11-25T17:12:07.485421,1
10,518,-20684.0,-26504.0,-11496.0,-1088.0,-11105.0,-32768.0,23480.0,7168.0,14152.0,-960.0,14163.0,31514.0,-1824.07722007722,-9933.96138996139,1667.0579150579151,-1033.2972972972973,283.7142857142857,1861.3108108108108,11018.4885323913,4271.422145970639,6460.306614444116,18.812230896558674,3579.6033881474696,6906.366132510815,16726.26044091815,5530.8372696796705,2025-11-25T17:12:07.484452,2025-11-25T17:12:20.644901,1
11,381,-17120.0,-26872.0,-15412.0,-1104.0,-11380.0,-27830.0,22140.0,-4540.0,3644.0,-1008.0,10604.0,32767.0,1795.8110236220473,-13398.068241469817,-3942.2047244094488,-1061.8372703412074,528.7139107611548,2688.8792650918635,8796.900029386352,3391.300236956376,3841.257549180709,17.700476049854778,3954.0770838236845,7669.939196418813,17187.68574524483,7120.645889479409,2025-11-25T17:12:20.643792,2025-11-25T17:12:32.153351,1
12,354,-13188.0,-24824.0,-17144.0,-1136.0,-8386.0,-25699.0,16080.0,-6516.0,7220.0,-1024.0,9106.0,18752.0,5125.344632768361,-13601.22033898305,-1656.6553672316384,-1071.3672316384182,-102.35875706214689,1391.1129943502824,7376.87014916302,3484.223160267835,4779.168546920303,19.306790167541116,3141.417129311693,6838.727051710519,17204.82030207548,6513.99144958509,2025-11-25T17:12:32.152549,2025-11-25T17:12:42.155892,1
13,218,-19856.0,-30000.0,-14080.0,-1168.0,-10631.0,-21997.0,14780.0,-2148.0,16236.0,-1072.0,17519.0,32767.0,3624.8073394495414,-14007.54128440367,-1549.1743119266055,-1116.4770642201836,121.22935779816514,1914.8715596330276,7717.946587771209,3987.946979421983,4279.428078147519,17.984497059980935,4922.915755378205,8233.194948868384,17207.14077087709,7604.804626449601,2025-11-25T17:12:42.154921,2025-11-25T17:12:52.348919,1
14,394,-21244.0,-25752.0,-12008.0,-1168.0,-14290.0,-14326.0,14412.0,2988.0,10964.0,-1056.0,17479.0,32767.0,870.1725888324873,-12493.837563451776,-2672.5380710659897,-1108.9543147208121,1329.507614213198,1713.0507614213197,9754.934983829518,5326.404563838095,3870.4775285889486,18.873421382533603,4533.279453132779,7973.838793774201,17148.311519669223,7560.600806028866,2025-11-25T17:12:52.348467,2025-11-25T17:13:03.244413,1
15,385,-16528.0,-32768.0,-17424.0,-1184.0,-15190.0,-26820.0,32767.0,-816.0,15104.0,-1088.0,15854.0,24320.0,2263.3012987012985,-13019.2,-2654.181818181818,-1134.7116883116882,1131.1142857142856,1776.6935064935064,9683.006111129958,3881.523222760772,3802.6349713565337,17.91183294605178,6412.284454841029,7903.32195121161,17222.704884369512,8903.745713638695,2025-11-25T17:13:03.243547,2025-11-25T17:13:14.509916,1
16,680,-23684.0,-31272.0,-12644.0,-1200.0,-9269.0,-31443.0,14028.0,4776.0,12636.0,-1104.0,11562.0,32767.0,412.7470588235294,-13812.19411764706,-2351.4058823529413,-1147.6941176470589,310.1588235294118,-2599.5176470588235,7863.854955398794,4766.494697730693,4031.526816300945,18.465881753312935,3191.374828863651,9100.560283316452,17054.800784908934,8318.007515995161,2025-11-25T17:13:14.509302,2025-11-25T17:13:25.842070,1
17,119,-8380.0,-24496.0,-4136.0,-1216.0,-10521.0,-13192.0,9824.0,-9772.0,11088.0,-1136.0,20434.0,24425.0,2810.9915966386557,-13939.697478991597,4822.756302521008,-1167.7310924369747,-63.48739495798319,1803.2016806722688,4949.098244822401,3276.6523256370806,4380.526126196739,20.740776011588476,7327.447794028345,7541.974217814726,16605.10616410753,9429.47745116912,2025-11-25T17:13:25.840579,2025-11-25T17:13:36.869351,1
18,414,-14036.0,-23036.0,-16384.0,-1248.0,-9077.0,-27383.0,15100.0,-5016.0,25944.0,-1136.0,14509.0,25613.0,1947.7971014492753,-13322.608695652174,5399.207729468599,-1191.8454106280194,-139.97101449275362,-1015.268115942029,4680.729403231059,4009.2946789586717,6314.6361808852525,19.634714050524835,4892.095433311623,7834.141424127765,16656.04789862973,7866.039430354141,2025-11-25T17:13:36.869134,2025-11-25T17:13:47.272439,1
19,464,-18116.0,-27664.0,-8056.0,-1248.0,-17430.0,-32768.0,29316.0,-148.0,23452.0,-1152.0,16863.0,25313.0,3322.405172413793,-10780.741379310344,7233.896551724138,-1206.2068965517242,-524.5474137931035,129.77155172413794,6154.501120540304,5249.674302082266,6089.925965490921,17.485716950275744,5801.733321736276,7033.021520708039,16489.463646368262,7161.103637159917,2025-11-25T17:13:47.271856,2025-11-25T17:13:58.983272,1
