Time(ms),Teste,AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ
35745,1,0.78,-4,31.64,-13,31.76,-1,3909.27, 0,40.73,-7,3902.01,-16
36050,1,0.73,-34,31.37,54,31.54,51,3909.27, 0,241.04,51,3854.51,13
36155,1,0.66,-15,31.55,-11,31.42,27,3911.22,-32,125.24,-65,3844.21,-4
36260,1,0.71,10,31.28,-14,30.99,-29,3910.24, 0,3769.15,-79,3834.45,10
36365,1,0.77,-2,31.90,-9,30.79,15,3911.22,-16,3761.95,-3,3972.80,34
36469,1,0.72, 6,31.95, 5,31.03, 9,3908.29, 0,3899.33,36,39.63,16
36574,1,0.74,-5,0.12,-12,31.04,17,3908.29,32,3952.44,-6,79.33, 3
36679,1,0.72,-5,0.01,-7,31.20, 9,3908.29,32,0.43,16,98.78, 1
36784,1,0.79,-26,31.78,-18,31.33,60,3910.24, 0,58.60,15,85.67,-12
36888,1,0.78,-5,31.77,-10,31.54,16,3910.24,-32,3953.54,-70,81.83,-13
36993,1,0.71,35,31.56,-10,31.65,-56,3910.24,-16,3918.90, 7,3.90,-2
37098,1,0.93, 2,31.74,13,31.44,41,3910.24,16,10.00,-15,3994.88,-1
37203,1,0.90, 2,31.63,12,31.56,-32,3909.27,-32,5.98,14,3995.43, 2
37308,1,0.91,-2,31.71,12,31.54,17,3909.27, 0,4.33, 4,3992.93,-6
37413,1,0.90, 1,31.68,10,31.54, 4,3909.27,16,3996.04,-65528,3990.30, 1
37517,1,0.91, 4,31.71, 0,31.53, 2,3909.27,16,1.77,-5,3988.48,-3
37622,1,0.90,-7,31.73,-7,31.52,10,3910.24, 0,3985.12,-7,3983.60, 0
37727,1,0.85,-10,31.71, 8,31.57,-13,3910.24, 0,3977.20, 0,3974.57,-1
37832,1,0.82, 1,31.72, 0,31.56,-14,3908.29,48,3986.77,-2,3961.28, 1
37936,1,0.77,59,31.78,-81,31.60,-10,3911.22, 0,10.79,29,3937.87, 1
38041,1,0.57,-9,31.99, 2,31.50,-10,3909.27, 0,3994.27,-22,3884.33,-8
38146,1,0.19,-82,31.93,-37,30.87,-123,3911.22,-16,3938.11,-54,3822.26,73
38251,1,0.65,122,31.38,753,0.21,60290,3910.24,-32,3948.90,257,3720.37, 0
38355,1,31.74,-10,0.01, 3,29.65,451,3908.29, 0,3988.60,-4,3938.66,48
38460,1,31.60,-41,31.92,13,30.78,70,3908.29,16,3995.37,-25,3956.95,29
38565,1,31.82,128,0.08,20,31.16,-222,3909.27, 0,3963.11,17,36.40,-215
38670,1,31.74, 0,31.96, 5,30.82, 8,3907.32, 0,50.00,-7,3971.40, 8
38775,1,31.78, 1,31.83, 0,30.83, 9,3909.27,-16,31.77,-38,30.61, 1
38880,1,31.82,-5,31.87, 3,30.90,21,3908.29,-32,1.77,13,11.28, 0
38985,1,31.42,292,0.31,64524,31.28,-231,3908.29, 0,86.28,-1080,143.72,-774
39090,1,31.98,13,31.65, 2,30.83,58,3909.27, 0,124.45,30,131.10,10
39195,1,0.10,-1,31.36,-41,31.39,13,3905.37,32,68.90,-36,170.12,-31
39300,1,0.43,17,31.14,-25,31.58, 5,3909.27,-32,98.84,13,125.37,-10
39404,1,0.59, 7,31.19, 5,31.76,111,3910.24, 0,72.87,34,96.46,-14
39509,1,0.71, 6,31.25,14,31.88,71,3908.29,16,71.59,19,76.46,11
39614,1,0.66, 9,31.42,27,0.02,57,3908.29,16,22.62,23,38.90,-5
39719,1,0.75,16,31.55,-29,0.10,17,3911.22,-32,6.83,-20,36.04,-17
39824,1,0.73,-22,31.51,-1,0.37,11,3909.27,-64,26.04, 9,36.71,-32
47404,2,0.95,-62,31.66,37,0.07,63,3908.29,-32,2.44,65477,3995.30,-54
