Time(ms),Teste,AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ
22462,1,0.90,-5,31.48,45,0.02,17,3903.41, 0,3985.85,28,3988.11,-1
22767,1,0.88, 9,31.44,-6,0.03,-14,3903.41,16,4.02,10,1.52, 1
22872,1,0.85,-47,31.44,47,0.04,59,3902.44,32,9.76,-32,3988.78,-104
22977,1,0.79, 3,31.61,-8,31.98,-65502,3902.44, 0,2.99,-43,2.20, 2
23082,1,0.91,-21,31.50,-23,0.03, 0,3902.44,16,1.22,-3,3995.91,-65533
23186,1,0.86, 9,31.47,-6,0.02, 6,3903.41,-16,3988.35, 3,3.35,-2
23291,1,0.84, 0,31.44, 2,0.01, 0,3903.41,-16,7.50,-2,3991.52,-6
23396,1,0.85, 7,31.43,-2,0.03, 3,3904.39, 0,7.26,-2,3987.07, 0
23501,1,0.83, 1,31.41, 0,32.00,-30,3904.39,16,0.55, 4,3990.18, 8
23605,1,0.85, 1,31.41,11,0.01, 2,3903.41, 0,3991.28, 7,3993.11, 2
23709,1,0.86,-9,31.45,-11,0.01,-5,3904.39,-32,3995.79,-2,0.85, 0
23814,1,0.86, 2,31.44, 1,31.99, 8,3902.44, 0,1.40, 2,3993.78,-3
23922,1,0.86,-15,31.44,-8,0.01, 1,3902.44,32,2.26, 4,3992.68,-2
24028,1,0.87, 7,31.47, 7,0.01,16,3902.44,48,6.46, 2,3993.54, 1
24133,1,0.89,-14,31.49, 0,0.00,-2,3905.37,-32,6.16, 3,3991.59, 1
24238,1,0.90,-4,31.50,12,0.00,12,3903.41,-16,3.90, 8,3987.87,-8
24343,1,0.92,-14,31.58,-11,31.96,18,3902.44,64,5.98,-3,1.16,-2
24448,1,0.94, 5,31.62, 7,31.96,18,3902.44,16,8.29,-5,5.85, 4
24552,1,0.95,-5,31.66, 1,0.00, 5,3903.41,32,10.30,-4,6.83, 0
24657,1,0.95, 1,31.72, 3,0.05,-20,3903.41,-16,14.45,-6,5.98,-6
24761,1,0.99, 9,31.82,-14,0.08,29,3904.39, 0,6.52,-3,9.33, 4
24866,1,0.96,-18,31.87,18,0.11,11,3905.37, 0,6.22, 3,16.40, 0
24971,1,0.97, 2,31.93,-35,0.11,26,3903.41,16,11.71,12,14.51,-1
25076,1,0.86,-6,31.96, 4,0.14,-11,3904.39, 0,34.76,13,3988.66,-13
25181,1,0.67, 6,31.93,13,0.31, 1,3904.39,-32,67.87,28,3934.51,-59
25286,1,0.25,-9,0.21, 0,31.75,-27,3903.41, 0,93.48,-53,3839.70,-18
25391,1,31.96,-279,2.16,-662,31.14,-220,3903.41,-32,142.32,296,3807.68,-222
25496,1,0.05,65360,0.61,-285,0.36,139,3902.44, 0,3802.56,-4,3909.21,-75
25600,1,31.90,-65094,1.12, 0,31.12,123,3902.44,32,3950.18,55,3974.70,16
25705,1,0.07,125,1.42,-92,31.73,-39,3902.44,-16,3971.16,-51,87.74,92
25809,1,0.35, 0,0.91,18,31.63, 0,3901.46,16,51.89,-88,141.77,-22
25914,1,0.37,25,0.65,39,31.89,16,3902.44, 0,3984.70,10,67.93,-12
26018,1,0.59,-9,0.66,10,31.65,-26,3904.39,-16,36.34,14,2.32,-7
26123,1,0.49,-3,0.75,10,31.54, 6,3903.41,-32,72.80,28,7.87,14
26228,1,0.45,-4,0.92, 8,31.41, 7,3903.41, 0,27.87,-6,6.28, 7
