Time(ms),Teste,AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ
58528,1,0.01,-3,31.32,-31,0.39,19,3896.59,16,3874.70,-26,3921.77,-14
58834,1,0.13, 3,31.00,-32,0.12,-22,3897.56,-16,3846.16,25,3892.13,-7
58939,1,0.15,-6,30.93, 3,31.96,-12,3895.61, 0,3922.62,23,3924.94,13
59044,1,0.05,-9,31.07,-14,31.89, 7,3896.59, 0,3945.24,-5,3944.70, 7
59149,1,31.94,-14,30.92,-9,31.81, 3,3896.59,-16,3972.44,-4,3974.88, 1
59254,1,31.81,-5,30.94,-5,31.88,-10,3897.56,-48,29.76,25,3984.21, 9
59359,1,31.75, 2,30.95, 6,31.92, 7,3896.59,32,57.99, 2,3979.39, 6
59463,1,31.84,-3,31.17, 0,31.99,12,3897.56,-32,25.55,-9,0.98, 6
59569,1,31.76,15,30.87,25,31.93,-2,3896.59,-32,3972.62,15,4.39,12
59674,1,31.88,-4,31.11,-9,31.94, 0,3897.56,-32,3981.95,-8,33.78, 3
59779,1,31.85,-11,31.04,-1,31.94,-15,3897.56,-16,3982.74,-1,77.56, 9
59883,1,31.77,-15,30.85,15,31.83, 0,3893.66,32,3974.51, 2,98.78, 1
59988,1,31.84, 1,31.02,-16,31.72,-40,3896.59, 0,15.00,-27,54.57,-23
60093,1,31.88,-20,31.21,-9,31.78, 0,3896.59,-16,3983.23,-13,9.02,-9
60198,1,31.82, 2,31.01,12,31.78,-9,3897.56,-16,4.15,13,3968.23,-4
60303,1,31.68, 4,30.95,15,31.71,-5,3896.59,-16,15.61,-30,3956.52,-15
60408,1,31.78,-5,30.88,-11,31.81,-11,3895.61,16,3945.98,11,3965.49, 1
60513,1,31.90, 0,31.09,-10,31.69,-28,3896.59,-16,3984.63,-21,3944.33,-3
60618,1,31.72,-13,30.67,-17,31.60,-6,3893.66,48,3968.60, 4,3949.57,-6
60723,1,31.85,-12,31.22,-25,31.80,-6,3896.59,32,4.15,-1,5.43,15
60828,1,31.63, 8,31.14, 2,31.76,11,3897.56, 0,50.24, 8,22.50,-18
60933,1,31.86,21,31.31,-5,31.77, 5,3896.59, 0,11.95,-9,2.20, 2
61038,1,31.98,-27,31.01,-19,31.74, 3,3897.56, 0,28.35, 2,26.77,-4
61143,1,31.92,-5,31.19,-13,31.80, 5,3898.54, 0,36.77,-29,3.41,-22
61248,1,31.88,18,31.13,62,31.64,-44,3897.56,-32,127.20,81,3942.07, 7
61353,1,0.56,-23,31.56, 3,31.42,63,3894.63,64,67.38,-33,3942.93,67
61458,1,0.14,-9,0.02,70,0.08,35,3894.63,16,85.24,86,151.22,31
61563,1,31.35,-54,29.84,76,0.74,-110,3895.61,16,17.62,-1,220.24, 4
61668,1,28.13,704,31.77,-586,5.07,810,3894.63,16,3524.21,629,3766.10,731
61773,1,31.34,42,31.19,235,0.30,-164,3895.61,-32,28.11,74,3945.18,-18
61878,1,31.99,-14,31.31,-152,0.87,72,3894.63,32,3946.89,36,3935.30,12
61983,1,31.92,-8,31.41,40,0.78,12,3895.61,16,16.10,-26,3980.98,25
62088,1,31.88,15,31.53,-21,0.76,-2,3894.63,32,3978.60,-34,10.79, 4
62192,1,31.86, 2,31.41,-13,0.71,-2,3895.61, 0,3992.80, 4,7.44,-4
62297,1,31.87, 9,31.48,14,0.69, 1,3894.63, 0,3989.82,-13,14.15,-1
62402,1,31.80, 8,31.46,-81,0.66,31,3894.63,48,2.80,-3,6.59,-4
62507,1,31.83, 9,31.35,-17,0.73,10,3894.63,32,3992.80, 1,21.10, 6
62612,1,31.73,16,31.40,15,0.63,-29,3895.61,32,3981.40,-2,38.29, 5
62717,1,31.63,-14,31.42,-27,0.54,52,3894.63,32,3969.33,-1,52.32, 2
62822,1,31.63,11,31.40,-37,0.60,72,3895.61, 0,3978.54,-18,37.99,-20
62927,1,31.43,14,31.39,36,0.57,26,3897.56,-16,3979.76,20,57.32,-5
63032,1,31.31,15,31.44, 6,0.54,-6,3896.59,16,71.16,-14,3978.72,-20
68440,2,31.97,10,31.20,11,0.57,-17,3897.56,-32,3985.79,-9,3970.55,-2
68745,2,0.10, 5,31.26,-4,0.45,-3,3896.59, 0,3935.18,-12,3967.50, 2
68850,2,0.13,10,31.12,-29,0.44,27,3897.56,-32,3955.00,-5,3977.62,-12
68955,2,31.95, 8,31.17,26,0.33, 1,3896.59, 0,15.12,-5,3970.67, 8
69060,2,31.87,-3,30.71,-14,0.44,-38,3895.61,32,3939.88,38,3972.93, 3
69165,2,31.98, 9,31.28,12,0.27,-8,3898.54,-64,3991.71,-6,21.71, 5
69270,2,31.94,17,31.12,-7,0.25,-12,3894.63,48,3981.22, 6,20.00,-6
69374,2,31.94,22,31.18,10,0.17, 5,3895.61,16,3976.04,-16,3984.57,-11
69479,2,31.95, 6,30.99,-3,0.22, 0,3896.59,16,3954.51,10,3971.22,-1
69584,2,31.95,-7,31.02,-8,0.15, 7,3897.56,-16,3971.46,-9,3961.83,-2
69689,2,0.01,18,31.12,-10,0.11, 6,3896.59,16,3951.59,-32,3933.84,-15
69794,2,0.15,-1,31.01, 2,31.90, 5,3897.56,-16,3892.50,-38,3902.87,-12
69899,2,0.17,-5,30.81,-5,31.94,16,3896.59,16,3981.71,34,3881.22,-17
70003,2,0.14, 3,31.35,96,31.74,-41,3896.59,-32,214.39,29,3869.02, 8
70108,2,0.62,-74,31.88, 4,31.40,18,3896.59,16,3965.61,-118,3947.99,-10
70213,2,0.03,-13,31.71,62,31.48,36,3897.56,-16,3922.20,29,92.32,69
70318,2,31.82,21,30.92,-62,0.31,58,3896.59, 0,3957.87,72,279.15,74
70422,2,30.97,-245,30.42,-128,1.24,160,3895.61,-16,3647.56,176,342.74,-42
70527,2,0.73,275,1.16,-219,29.81,217,3894.63,16,3747.32,-534,3932.26,43
70632,2,29.52,-151,31.38,37,0.75,171,3895.61,16,3984.76,-65314,3992.99,-284
70737,2,31.73,56,31.46,61,0.60,-25,3894.63, 0,26.34,-41,12.32,-1
70842,2,31.77,-14,31.31,-14,0.56,19,3895.61, 0,10.37,-7,3990.49,-17
70946,2,31.81,-1,31.37,-14,0.63,52,3894.63,32,10.12,-22,3978.17,17
71051,2,31.87,-12,31.33,-4,0.61,12,3895.61, 0,3966.40, 2,4.15,-16
71156,2,31.85,-13,31.30,-20,0.54,15,3894.63, 0,4.33,-5,3993.48,-3
71261,2,31.84,-4,31.22,-14,0.58,-43,3895.61,32,6.28,25,1.89, 5
71365,2,31.89,19,31.34, 4,0.56,-12,3894.63, 0,3984.33,-14,12.50, 6
71470,2,31.71,-19,31.22,-24,0.57, 7,3893.66,16,3970.79,-2,46.40,-15
71575,2,31.58,-71,31.22, 6,0.61,50,3896.59, 0,3991.65,38,75.98, 3
71680,2,31.52,-34,31.34,-8,0.42, 3,3895.61, 0,3957.99, 2,44.94,15
71785,2,31.35,-10,31.14,15,0.46,-13,3894.63,32,3962.93,87,17.93,89
71890,2,31.44,27,31.20,-48,0.66,-4,3897.56,-32,50.18,75,3893.29,-86
79709,3,31.87, 0,31.03,-23,0.22,-15,3896.59, 0,3946.83,-9,3966.16,-18
80015,3,31.78,15,30.85,28,0.08,10,3893.66,32,3944.27,-18,3929.33, 2
80120,3,31.86,-16,30.91,-23,31.98,-30,3895.61,16,3877.44,13,3937.93,-6
80224,3,31.96, 9,31.15,12,31.82, 9,3896.59,-16,3939.39,-5,3934.15, 3
80329,3,0.02,-1,31.09,-6,31.75, 1,3895.61,-16,3947.80, 1,3932.62, 3
80433,3,0.04,-22,30.95,-5,31.71,12,3894.63,32,3987.80,-3,3954.76, 4
80538,3,31.85,-13,30.69, 4,31.61,13,3895.61, 0,3991.28,-14,3968.41,-10
80643,3,31.82, 3,31.12,-4,31.72, 1,3896.59, 0,51.71,-14,3964.63, 7
80748,3,31.66,-9,31.14, 3,31.91,-3,3895.61, 0,23.66,-9,3990.24,-15
80853,3,31.88,13,31.19, 6,31.72,13,3896.59, 0,3977.13,-3,3964.88,-2
80958,3,0.17, 0,31.03,-20,31.64,14,3897.56,-32,3886.04,-13,3963.84,-2
81063,3,0.26, 4,30.93,24,31.83,-9,3896.59, 0,3.23,16,3966.83,-11
81168,3,0.45,-48,31.56,34,0.10,-44,3896.59,-16,101.89,-54,3921.40,-48
81273,3,0.14,-55,31.55,78,31.85,36,3895.61,-16,3947.62,45,3973.72,16
81383,3,0.11, 1,0.07, 8,31.40,71,3896.59, 0,3890.98,58,128.35,24
81488,3,31.90,-84,0.29,-94,31.70,127,3895.61, 0,20.67,-63,88.48,-135
81593,3,0.75,-137,30.68,-235,31.87,22,3896.59,-32,248.17,124,60.18,-251
81698,3,27.67,1049,31.26,-63746,4.22,-442,3896.59,-48,465.79,-526,3469.76,840
81803,3,31.99, 8,31.21,287,0.62,89,3895.61,-16,101.95,-47,0.12,65532
81908,3,31.95,19,31.21,-14,0.52,-10,3894.63, 0,4.82,26,3989.70, 2
82013,3,0.04, 8,31.37,-30,0.55,20,3895.61,-32,10.30,-9,3991.71, 7
82118,3,32.00,-65522,31.42,51,0.67,-2,3896.59, 0,14.27,-13,2.56,-3
82223,3,0.04,-1,31.12, 7,0.63,24,3893.66,48,3978.29,18,4.70,-2
82328,3,0.05,-10,31.33,-19,0.59,-6,3896.59,-32,3.78,-13,12.87, 0
82432,3,31.87,-17,31.32,-47,0.61,78,3897.56,-32,29.21,-73,29.09,-61
82537,3,0.02,-23,31.36,-144,0.67,-29,3894.63, 0,18.05,-8,29.27, 4
82642,3,31.85,26,31.27,34,0.67,-68,3895.61,-32,3983.29, 4,38.90,16
82747,3,31.76,13,31.38,19,0.50,-26,3894.63,32,3958.29,12,42.50,10
82851,3,31.75,-45,31.34,-31,0.47,14,3895.61, 0,3966.46, 3,38.41,-1
82956,3,31.46,-9,31.17,-18,0.53,83,3896.59, 0,3944.21,-19,49.94,-24
83061,3,31.32,-39,30.97,99,0.55,-5,3896.59, 0,3992.68,45,32.62,-8
89789,4,31.88, 0,31.39,-22,0.31,15,3895.61,16,3956.34,-16,3980.67,-2
90094,4,31.83, 3,31.14,-15,0.21,16,3894.63, 0,3885.00, 1,3949.88,-7
90199,4,31.74,-11,30.78,-31,0.04,12,3893.66,32,3875.98, 6,3925.85,-13
90304,4,31.75,-19,30.87,37,31.89,25,3894.63, 0,3893.78,19,3908.84, 4
