Time(ms),Teste,AccX(g),ΔAccX,AccY(g),ΔAccY,AccZ(g),ΔAccZ,GyrX(d/s),ΔGyrX,GyrY(d/s),ΔGyrY,GyrZ(d/s),ΔGyrZ
68137,1,0.07,-2,31.49,-3,0.44, 0,3898.54,16,3958.84,-13,1.71, 9
68443,1,31.89,-10,31.69, 1,0.23,-1,3901.46,-32,3903.72,-40,33.17, 6
68548,1,31.26,-44,31.27,17,0.22,-24,3899.51,48,3918.41,25,29.57, 4
68653,1,30.44,-70,31.78,26,31.74,61,3900.49, 0,3665.98,-195,41.59,-5
68758,1,30.89,40,31.11,59,31.92,-9,3901.46, 0,3659.15,227,3927.80, 5
68863,1,30.98, 5,31.60,31,31.67,23,3901.46,-16,53.05,-11,3933.60, 1
68967,1,31.19, 9,31.61,-9,31.67,-9,3902.44,-32,3924.70, 3,3963.05, 8
69072,1,31.10,-5,31.52, 1,31.65,-9,3900.49,16,71.46,27,7.20,13
69177,1,31.04, 8,31.66, 4,31.71, 6,3902.44,-32,74.02,-21,38.48, 6
69282,1,30.92,-7,31.65, 0,31.84,37,3900.49, 0,30.55, 2,45.91,-2
69387,1,30.86,46,31.64, 4,0.01, 6,3897.56, 0,63.11,22,27.26,-14
69492,1,30.85,-19,31.87, 2,0.06, 4,3899.51,16,48.54,-32,0.85,65519
69596,1,31.32,-10,31.81,-8,0.18,-12,3900.49, 0,3959.70,-1,3980.30, 2
69701,1,31.09,-20,31.73, 0,32.00, 1,3901.46,-32,3926.83,-14,3973.72, 1
69806,1,30.89,-21,31.59,-22,31.90,-9,3899.51,16,3934.39, 6,3961.65,-4
69911,1,31.00,-18,31.64, 3,31.80,-2,3900.49, 0,3985.91,-3,3950.61, 6
70017,1,31.05,29,31.66,-13,31.72, 4,3900.49,-16,3924.82, 7,3962.20, 9
70121,1,31.12,-27,31.76,26,31.74,12,3901.46,-32,3969.33,10,3986.04,-3
70226,1,31.05,-3,31.83, 1,31.89,-10,3899.51,16,3970.85,26,9.33, 9
70334,1,30.97,-5,31.94,11,0.04,14,3903.41,-32,63.66,16,13.48,-6
70440,1,31.22, 4,31.98,-6,0.18,18,3898.54,16,93.90,15,2.74,-6
70545,1,31.46,-12,0.12,-9,0.17,-1,3899.51,32,21.95,-35,3982.99,-9
70650,1,31.37,-16,0.25, 6,31.90,-9,3898.54,32,3939.94,29,3960.67, 2
70755,1,31.29,44,0.49,48,31.87,-64,3900.49,16,109.15,-27,3974.57,19
70860,1,31.29,-121,31.38,-57,31.75,104,3901.46, 0,75.18,241,36.83,28
70964,1,31.77,-33,31.51,-174,0.68,50,3900.49,32,3862.44,-32,3994.33,-29
71069,1,22.01,1143,27.98,138,3.27,-3349,3900.49,-48,3893.35,732,3721.16,362
71173,1,30.98,318,31.05,-413,1.19,-32,3902.44,-32,14.21,-2,3849.09,45
71278,1,30.91,110,30.99,253,0.61,-135,3900.49,-32,141.77,-74,3745.06,66
71383,1,0.53,163,31.73,50,0.40,-17,3899.51, 0,3852.38,43,3713.11,20
71488,1,0.44,34,31.66,27,31.42,-36,3899.51,16,3994.76,-19,3841.04,43
71593,1,0.57,-25,0.11, 8,31.45,31,3898.54,32,3960.73,34,3978.90,41
71698,1,0.79,13,0.83,-21,31.97,-17,3901.46,-32,19.02,-32,21.95,20
71803,1,0.85,-18,1.02,23,31.71,-1,3897.56,16,3952.56,19,89.09,20
71908,1,0.56,-32,0.76,12,0.08,25,3900.49,-32,38.60,36,73.96,-8
72012,1,0.55,-74,0.89,72,0.02,-21,3901.46, 0,29.94,-20,20.98, 1
72117,1,0.53,10,0.89,-16,0.04, 4,3899.51,16,3983.35,-27,25.85,-8
72221,1,0.50,18,0.76,29,31.84,-35,3900.49, 0,3981.04,45,29.09,78
72326,1,0.51,62,0.99,-52,32.00,-65470,3898.54,48,3961.89,-74,28.17, 9
81094,2,31.90,-21,31.65,-23,0.18,-16,3900.49,16,3888.11,-20,1.95, 1
81399,2,31.34,-6,31.56, 0,31.98,20,3901.46,-16,3845.00,-33,7.50,-2
81505,2,30.11,-11,31.46,40,31.49,-71,3899.51,16,3574.09,-133,3928.41,-28
81610,2,30.81, 9,31.18,52,31.82,22,3902.44,-32,3797.93,249,3895.73,24
81715,2,30.99,11,31.66,13,31.52, 1,3899.51, 0,56.71,-74,3926.59, 0
81819,2,31.21,-23,31.70,-10,31.74,-2,3898.54,32,3882.13, 4,3951.71,12
81924,2,31.20,-26,31.64,-16,31.98,29,3898.54,32,40.61,61,4.27, 7
82028,2,31.35, 0,0.17,45,0.11,-22,3901.46,-32,151.52,-49,10.06,-9
82133,2,31.24, 0,0.40, 6,0.21, 7,3899.51,-16,27.62,-2,3969.09,-2
82238,2,31.05,-16,0.55,-56,0.11, 9,3900.49, 0,3987.62,-9,3940.49,-8
82343,2,31.36, 5,0.13,-12,0.05,22,3897.56,32,65.98,60,3950.06,14
82447,2,31.97,22,0.31,30,31.13,-29,3899.51,16,97.20,-46,3994.45,24
82552,2,31.55,-23,31.75,-43,31.69,-7,3898.54,32,3990.30,-308,47.74,-55
82657,2,28.00,-623,30.87,-28,2.29,595,3900.49,-16,3885.12,118,3881.95,-323
82762,2,31.03,183,30.10,26,0.64,129,3899.51, 0,31.89,208,3875.98,27
82866,2,0.07,-77,30.97,-47,0.32,56,3898.54,64,93.35,38,1.77,10
82971,2,31.71,-40,31.43,198,0.65,82,3898.54,16,170.37,-103,74.33,-77
83076,2,0.17,29,31.04,20,0.58,-21,3899.51,-32,3950.55,35,3970.06,-5
83181,2,0.08,-44,31.17,-23,0.54,32,3899.51,16,3.78, 6,10.00,-3
83286,2,0.19,-1,31.23,-22,0.51,38,3898.54,32,3956.95,14,3982.38, 2
83391,2,0.26,-30,31.13,13,0.52,32,3897.56,64,3981.52,-26,3954.94,-9
83495,2,0.49,17,30.97,-81,0.31,-5,3899.51,-16,3985.49,48,3926.89,13
83600,2,0.75,-3,31.15,58,0.29,-30,3900.49, 0,56.22,85,3966.77,43
83705,2,0.65,-46,31.29,39,0.31,-3,3901.46,-64,62.62,62,25.00,14
83810,2,0.45,-15,31.71,-16,0.71,-21,3898.54, 0,35.37,-8,43.90,-4
83915,2,0.57,32,31.63,21,0.77,-43,3900.49,16,55.06,42,30.30,11
