isFall,AccX(g)1,ΔAccX1,AccY(g)1,ΔAccY1,AccZ(g)1,ΔAccZ1,GyrX(d/s)1,ΔGyrX1,GyrY(d/s)1,ΔGyrY1,GyrZ(d/s)1,ΔGyrZ1,AccX(g)2,ΔAccX2,AccY(g)2,ΔAccY2,AccZ(g)2,ΔAccZ2,GyrX(d/s)2,ΔGyrX2,GyrY(d/s)2,ΔGyrY2,GyrZ(d/s)2,ΔGyrZ2,AccX(g)3,ΔAccX3,AccY(g)3,ΔAccY3,AccZ(g)3,ΔAccZ3,GyrX(d/s)3,ΔGyrX3,GyrY(d/s)3,ΔGyrY3,GyrZ(d/s)3,ΔGyrZ3,AccX(g)4,ΔAccX4,AccY(g)4,ΔAccY4,AccZ(g)4,ΔAccZ4,GyrX(d/s)4,ΔGyrX4,GyrY(d/s)4,ΔGyrY4,GyrZ(d/s)4,ΔGyrZ4,AccX(g)5,ΔAccX5,AccY(g)5,ΔAccY5,AccZ(g)5,ΔAccZ5,GyrX(d/s)5,ΔGyrX5,GyrY(d/s)5,ΔGyrY5,GyrZ(d/s)5,ΔGyrZ5
1,0.92,3.0,31.5,78.0,31.8,32.0,3924.88,16.0,24.57,31.0,33.78,-3.0,0.97,11.0,31.6,18.0,31.83,7.0,3927.8,48.0,23.78,0.0,54.51,12.0,0.96,-11.0,31.63,5.0,31.94,32.0,3927.8,-32.0,37.62,4.0,79.33,16.0,0.99,-4.0,31.7,3.0,0.09,-29.0,3928.78,-64.0,51.52,2.0,119.21,19.0,0.74,-20.0,31.74,-3.0,0.24,13.0,3925.85,32.0,64.63,14.0,189.33,28.0
1,31.9,1.0,31.14,-4.0,0.18,-1.0,3895.61,16.0,3950.18,-3.0,3979.94,-6.0,31.92,3.0,31.0,-16.0,0.1,-14.0,3896.59,0.0,3943.11,-7.0,3969.88,7.0,31.95,5.0,31.07,7.0,0.1,-3.0,3895.61,0.0,3977.68,7.0,3975.55,-1.0,0.08,-14.0,30.9,5.0,0.0,29.0,3894.63,32.0,3954.39,29.0,3981.95,1.0,0.05,12.0,31.08,4.0,0.05,4.0,3894.63,16.0,3994.09,-4.0,3989.27,-3.0
0,31.56,5.0,31.19,-9.0,31.81,-11.0,3901.46,16.0,70.91,19.0,191.83,-30.0,31.65,11.0,31.22,15.0,31.66,14.0,3901.46,48.0,2.13,-30.0,91.4,-11.0,31.81,7.0,30.97,6.0,31.64,2.0,3902.44,0.0,3916.52,75.0,47.68,-15.0,31.83,-1.0,31.15,-23.0,31.63,1.0,3902.44,0.0,3986.1,-19.0,3977.38,-28.0,31.96,5.0,31.16,8.0,31.67,1.0,3902.44,-16.0,5.49,1.0,3933.66,-3.0
1,31.49,-12.0,31.54,-2.0,0.01,-20.0,3901.46,-32.0,3821.83,12.0,9.57,-14.0,30.86,-9.0,31.44,-1.0,31.97,6.0,3900.49,-32.0,3838.78,5.0,3920.0,-29.0,30.17,18.0,31.6,-30.0,31.33,-31.0,3900.49,-16.0,3515.24,-119.0,3922.68,-10.0,31.02,4.0,31.46,-13.0,31.58,27.0,3897.56,48.0,98.84,109.0,3944.7,34.0,31.23,-22.0,0.02,-20.0,31.78,8.0,3898.54,0.0,3990.43,-145.0,3985.55,-1.0
0,31.99,-6.0,31.08,-3.0,31.54,17.0,3900.49,80.0,3.54,0.0,3993.48,3.0,0.01,-5.0,31.0,-16.0,31.53,0.0,3904.39,-16.0,8.11,0.0,3.9,3.0,0.04,-4.0,30.98,-14.0,31.58,16.0,3903.41,0.0,23.54,15.0,13.48,2.0,0.15,-6.0,30.98,-18.0,31.59,4.0,3903.41,0.0,8.9,5.0,28.23,8.0,0.21,6.0,30.96,20.0,31.61,16.0,3901.46,48.0,13.96,-10.0,48.29,3.0
1,0.99,-3.0,31.74,0.0,31.89,-16.0,3915.12,0.0,3990.79,-2.0,3991.77,-2.0,1.02,4.0,31.74,10.0,31.87,-1.0,3911.22,32.0,3983.66,-3.0,3.29,0.0,0.96,1.0,31.72,-5.0,31.83,-3.0,3913.17,-32.0,3975.98,4.0,3995.91,-5.0,0.97,5.0,31.68,-19.0,31.81,-4.0,3913.17,0.0,3992.38,8.0,3983.23,-5.0,1.0,1.0,31.73,-1.0,31.82,10.0,3913.17,16.0,4.09,0.0,3979.76,2.0
0,31.94,4.0,31.05,8.0,31.85,-15.0,3905.37,-32.0,42.44,3.0,3995.24,1.0,0.01,6.0,31.03,-23.0,31.96,4.0,3903.41,16.0,3990.79,29.0,3992.38,-2.0,31.97,8.0,30.95,-17.0,31.93,45.0,3904.39,-32.0,3988.54,13.0,3985.37,6.0,31.91,19.0,30.95,57.0,31.91,-29.0,3904.39,16.0,16.34,-10.0,3988.72,6.0,31.97,16.0,31.02,0.0,31.89,28.0,3901.46,64.0,3961.71,18.0,3977.44,-11.0
0,31.87,-11.0,31.06,-23.0,31.77,18.0,3902.44,-16.0,53.78,0.0,21.65,9.0,31.75,1.0,30.95,24.0,31.91,-2.0,3901.46,0.0,13.17,22.0,3970.73,-21.0,31.8,8.0,31.24,-12.0,31.88,-34.0,3901.46,32.0,9.51,-5.0,3909.57,-6.0,31.78,-26.0,31.24,-30.0,31.8,-10.0,3901.46,16.0,3811.16,-112.0,3927.2,-1.0,31.71,0.0,30.93,31.0,31.76,5.0,3902.44,-32.0,3979.7,75.0,3918.29,3.0
1,31.97,-14.0,31.23,3.0,0.41,-4.0,3903.41,-16.0,3995.12,-4.0,3956.71,-3.0,31.9,-4.0,30.93,9.0,0.55,-16.0,3902.44,0.0,3991.59,8.0,3952.2,2.0,31.96,5.0,31.29,-16.0,0.42,-11.0,3900.49,64.0,3984.45,-4.0,3969.51,15.0,31.98,13.0,31.16,-6.0,0.44,6.0,3902.44,-16.0,3987.44,4.0,3.29,6.0,31.92,1.0,31.21,0.0,0.45,11.0,3903.41,-32.0,11.1,-5.0,24.57,-3.0
0,0.28,23.0,31.27,43.0,31.55,24.0,3905.37,16.0,102.8,-41.0,3944.82,-16.0,0.6,9.0,31.7,-44.0,30.95,-31.0,3906.34,-32.0,3865.12,-23.0,46.28,32.0,0.68,-7.0,30.94,7.0,31.41,23.0,3904.39,32.0,3915.73,16.0,78.29,-1.0,0.54,1.0,30.74,-14.0,31.76,-16.0,3906.34,-48.0,3976.77,69.0,72.2,-18.0,0.23,-15.0,31.05,22.0,31.7,12.0,3903.41,32.0,375.24,21.0,3926.46,-12.0
